# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 55.0818196010 696 0 12 12
10 7455 88.8245980759 914 3 12 12
20 13705 89.3837510310 1945 7 12 12
30 19955 89.9053733584 3374 8 12 12
40 26205 89.9664582328 4738 8 12 12
50 32455 89.9823173017 6050 8 12 12
60 38705 89.9879588790 7190 8 12 12
70 44955 89.9902872180 8164 8 12 12
80 51205 89.9921922179 9144 8 12 12
90 57455 89.9921922179 10076 8 12 12
100 63705 89.9938675881 11003 8 12 12
110 69955 89.9943689522 11961 8 12 12
120 76205 89.9955713935 12877 8 12 12
130 82455 89.9955713935 13794 8 12 12
140 88705 89.9958020810 14708 8 12 12
150 94619 89.9959373030 15579 8 10 12
160 100000 89.9962210016 16383 8 9 11
