algorithm,suite,D,run,status,message,runtime,resultFile,MaxFE,nReturned,nShared,nFoundShared,peakRecall,bestConsensus,consensusGap,meanConsensus,IGDX,GDX,minDistanceToShared,ndCount,ndRatio,highConsensusRatio,HV2D
HHCMMEA,8,5,1,ok,,11.3853509,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite08_D5_run01.mat,100000,100,2,1,0.5,89.9981088156461,0.00189118435392288,89.9959526646226,0.437803852413846,0.000327380745531115,0.00028897648893001,100,1,1,8099.89760829209
HHCMMEA,9,10,1,ok,,36.1005062,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite09_D10_run01.mat,100000,100,20,0,0,0.00024846953148483,89.9997515304685,0.00024846953148483,1.10785182210643,1.05026511025513,0.587461390816205,50,0.5,0,7.54850100850041e-08
HHCMMEA,9,3,1,ok,,10.5045436,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite09_D3_run01.mat,100000,100,20,1,0.05,89.9999963819799,3.61802013060242e-06,89.9999963819799,0.549006973988238,1.02703974889769e-05,1.02703974873989e-05,100,1,1,8099.99938134011
HHCMMEA,9,5,1,ok,,10.0365511,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite09_D5_run01.mat,100000,100,20,1,0.05,89.9997069154354,0.000293084564617629,89.9995713563018,0.78034516669427,3.45396856713568e-05,3.03432577252074e-05,100,1,1,8099.98827263942
HHCMMEA,10,10,1,ok,,32.5146344,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite10_D10_run01.mat,100000,99,6,0,0,0.965279365164221,89.0347206348358,0.965279365164221,1.13679478185441,1.38458868797091,0.879483710731884,99,1,0,0.931764252811842
HHCMMEA,10,2,1,ok,,10.2218403,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite10_D2_run01.mat,100000,100,6,1,0.166666666666667,89.9999999670116,3.29883533822795e-08,89.9999999388896,0.512956143814524,8.72469560804602e-07,6.15654249832564e-07,100,1,1,8099.99999887005
HHCMMEA,10,3,1,ok,,10.0570381,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite10_D3_run01.mat,100000,100,6,1,0.166666666666667,89.9999667924101,3.32075899223128e-05,89.999962851051,0.606002279504962,5.62786340267115e-05,4.44849218092504e-05,90,0.9,1,8099.99636012178
HHCMMEA,10,5,1,ok,,15.9986352,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite10_D5_run01.mat,100000,100,6,1,0.166666666666667,89.9958206073055,0.00417939269446777,89.988353987613,0.639701261875179,0.000696296833682417,0.0004782695469102,44,0.44,1,8099.60709879931
HHCMMEA,11,10,1,ok,,32.8324757,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite11_D10_run01.mat,100000,100,8,0,0,0.467718856730201,89.5322811432698,0.467718856730201,1.32665590918698,1.34957814648192,1.02367963549271,100,1,0,0.218760928941006
HHCMMEA,11,2,1,ok,,9.6917281,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite11_D2_run01.mat,100000,100,8,1,0.125,89.9999982009559,1.79904407104914e-06,89.9999865441676,0.511997046339575,1.08635802214599e-05,5.1111029856755e-06,100,1,1,8099.99988528062
HHCMMEA,11,3,1,ok,,11.4027371,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite11_D3_run01.mat,100000,100,8,1,0.125,89.9999856595857,1.43404143386761e-05,89.9997725432195,0.827132701116492,4.69455798711318e-05,3.38760240036637e-05,100,1,1,8099.99851678723
HHCMMEA,11,5,1,ok,,10.2247328,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite11_D5_run01.mat,100000,100,8,1,0.125,89.9999843965751,1.56034248988135e-05,89.9999817279309,0.628692486296699,2.45328168845704e-05,2.42651092045438e-05,100,1,1,8099.99780211883
HHCMMEA,12,10,1,ok,,36.5750498,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite12_D10_run01.mat,100000,99,16,0,0,1.44423282752527,88.5557671724747,1.44423282752527,1.31157482100048,1.19313494459232,0.920553271246328,99,1,0,2.08580846010163
HHCMMEA,12,2,1,ok,,10.3459563,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite12_D2_run01.mat,100000,100,16,1,0.0625,89.9999995339446,4.6605543957412e-07,89.9999994398043,0.61533249171138,2.01928942646282e-06,1.46972338369655e-06,100,1,1,8099.99998372677
HHCMMEA,12,3,1,ok,,11.1249712,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite12_D3_run01.mat,100000,100,16,1,0.0625,89.9999908298168,9.17018317636575e-06,89.9999853404094,0.677359956274849,3.48089865627664e-05,3.25027032168823e-05,100,1,1,8099.99885165498
HHCMMEA,12,5,1,ok,,12.1546432,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\HHCMMEA_suite12_D5_run01.mat,100000,100,16,1,0.0625,89.9998449881411,0.00015501185886535,89.9996257459667,0.739658530066692,7.1900244192107e-05,5.24085945822842e-05,100,1,1,8099.98325983849
MMEAARM,1,10,1,ok,,12.9476323,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite01_D10_run01.mat,100000,100,2,0,0,3.89136931460143e-05,89.9999610863069,1.93547488522938e-05,1.0215348930856,0.921424272927211,0.891505840701394,2,0.02,0,1.20845189269322e-07
MMEAARM,1,2,1,ok,,20.1117822,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite01_D2_run01.mat,100000,100,2,2,1,88.4774605300843,1.52253946991569,78.9210227776151,0.00037265550235196,0.0814488000781471,9.06225331505194e-05,20,0.2,0.7,8017.71981191745
MMEAARM,1,3,1,ok,,96.7516661,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite01_D3_run01.mat,100000,96,2,1,0.5,88.7291308582534,1.27086914174656,55.3896688352255,0.222512041970413,0.208778536978309,0.000990673568122152,12,0.125,0.625,8063.89235721193
MMEAARM,1,5,1,ok,,21.3097086,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite01_D5_run01.mat,100000,100,2,0,0,0.0475655114882443,89.9524344885118,0.0240551789443906,0.62853195783222,0.784491687954723,0.572974780963602,36,0.36,0,3.26622182552488
MMEAARM,2,10,1,error,位置 1 处的索引超出数组边界。索引不能超过 27。,18.7080021,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite02_D10_run01.mat,100000,0,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
MMEAARM,2,2,1,ok,,25.1118586,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite02_D2_run01.mat,100000,100,2,2,1,89.9962409013659,0.00375909863413426,87.1401195584766,0.00475278167077005,0.012499277994556,0.000224478488843293,10,0.1,0.88,8099.88668425394
