# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 85.7361102504 667 3 12 12
10 7455 89.7027016418 1506 4 12 12
20 13705 89.9864603557 2356 4 12 12
30 19955 89.9977793776 3210 5 12 12
40 26205 89.9988190329 4098 5 12 12
50 32455 89.9996896875 4966 5 12 12
60 38705 89.9999742256 5863 5 12 12
70 44955 89.9999983532 6864 5 12 12
80 51205 89.9999999293 7847 5 12 12
90 57455 89.9999999816 8860 5 12 12
100 63705 89.9999999959 9837 5 12 12
110 69955 90.0000000000 10863 5 12 12
120 76205 90.0000000000 11881 5 12 12
130 82455 90.0000000000 12573 5 12 12
140 88705 90.0000000000 13355 5 12 12
150 94955 90.0000000000 14294 5 12 12
159 100000 90.0000000000 15050 5 12 0
