# generation pareto_front_size best_joint_fitness
1 4 86.514822
2 6 86.514822
3 9 86.514822
4 11 86.514822
5 14 86.514822
6 16 86.514822
7 18 86.514822
8 3 87.369870
9 3 87.369870
10 3 87.369870
11 3 87.369870
12 3 87.369870
13 3 87.369870
14 3 87.369870
15 3 87.369870
16 3 87.369870
17 3 87.369870
18 3 87.369870
19 4 87.369870
20 4 87.369870
21 4 87.369870
22 4 87.369870
23 5 87.369870
24 3 88.254532
25 4 88.254532
26 5 88.254532
27 7 88.254532
28 8 88.254532
29 9 88.254532
30 10 88.254532
31 11 88.254532
32 12 88.254532
33 13 88.254532
34 14 88.254532
35 15 88.254532
36 16 88.254532
37 18 88.254532
38 19 88.254532
39 20 88.254532
40 21 88.254532
41 22 88.254532
42 22 88.254532
43 23 88.254532
44 23 88.254532
45 23 88.254532
46 23 88.254532
47 23 88.254532
48 5 88.259865
49 5 88.259865
50 5 88.259865
51 5 88.259865
52 5 88.259865
53 5 88.259865
54 5 88.259865
55 5 88.259865
56 5 88.259865
57 6 88.259865
58 6 88.259865
59 6 88.259865
60 6 88.259865
61 6 88.259865
62 6 88.259865
63 6 88.259865
64 6 88.259865
65 6 88.259865
66 6 88.259865
67 6 88.259865
68 6 88.259865
69 6 88.259865
70 5 88.259865
71 5 88.259865
72 5 88.259865
73 5 88.259865
74 5 88.259865
75 5 88.259865
76 5 88.259865
77 5 88.259865
78 5 88.259865
79 5 88.259865
80 5 88.259865
81 5 88.259865
82 5 88.259865
83 5 88.259865
84 5 88.259865
85 5 88.259865
86 5 88.259865
87 5 88.259865
88 5 88.298409
89 6 88.298409
90 7 88.298409
91 8 88.298409
92 9 88.298409
93 10 88.298409
94 11 88.298409
95 12 88.298409
96 13 88.298409
97 14 88.298409
98 15 88.298409
99 16 88.298409
100 17 88.298409
101 18 88.298409
102 19 88.298409
103 20 88.298409
104 21 88.298409
105 22 88.298409
106 25 88.298409
107 26 88.298409
108 27 88.298409
109 28 88.298409
110 6 88.319361
111 7 88.319361
112 8 88.319361
113 9 88.319361
114 10 88.319361
115 11 88.319361
116 12 88.319361
117 13 88.319361
118 14 88.319361
119 15 88.319361
120 16 88.319361
121 17 88.319361
122 18 88.319361
123 19 88.319361
124 21 88.319361
125 22 88.319361
126 23 88.319361
127 24 88.319361
128 26 88.319361
129 27 88.319361
130 28 88.319361
131 29 88.319361
132 30 88.319361
133 31 88.319361
134 32 88.319361
135 33 88.319361
136 34 88.319361
137 35 88.319361
138 36 88.319361
139 37 88.319361
140 38 88.319361
141 39 88.319361
142 40 88.319361
143 7 88.365913
144 8 88.365913
145 9 88.365913
146 10 88.365913
147 11 88.365913
148 12 88.365913
149 13 88.365913
150 14 88.365913
151 15 88.365913
152 16 88.365913
153 17 88.365913
154 18 88.365913
155 19 88.365913
156 20 88.365913
157 21 88.365913
158 22 88.365913
159 23 88.365913
160 24 88.365913
161 25 88.365913
162 26 88.365913
163 27 88.365913
164 28 88.365913
165 29 88.365913
166 30 88.365913
167 31 88.365913
168 32 88.365913
169 34 88.365913
170 35 88.365913
171 35 88.365913
172 36 88.365913
173 37 88.365913
174 38 88.365913
175 39 88.365913
176 40 88.365913
177 42 88.365913
178 43 88.365913
179 44 88.365913
180 45 88.365913
181 46 88.365913
182 47 88.365913
183 48 88.365913
184 49 88.365913
185 50 88.365913
186 51 88.365913
187 52 88.365913
188 53 88.365913
189 54 88.365913
190 55 88.365913
191 56 88.365913
192 57 88.365913
193 58 88.365913
194 59 88.365913
195 60 88.365913
196 61 88.365913
197 62 88.365913
198 8 88.498490
199 9 88.498490
200 10 88.498490
201 11 88.498490
202 12 88.498490
203 13 88.498490
204 14 88.498490
205 15 88.498490
206 16 88.498490
207 17 88.498490
208 18 88.498490
209 19 88.498490
210 20 88.498490
211 21 88.498490
212 22 88.498490
213 23 88.498490
214 24 88.498490
215 25 88.498490
216 26 88.498490
217 27 88.498490
218 28 88.498490
219 29 88.498490
220 30 88.498490
221 31 88.498490
222 32 88.498490
223 33 88.498490
224 34 88.498490
225 35 88.498490
226 36 88.498490
227 37 88.498490
228 38 88.498490
229 39 88.498490
230 40 88.498490
231 41 88.498490
232 42 88.498490
233 43 88.498490
234 44 88.498490
235 45 88.498490
236 46 88.498490
237 47 88.498490
238 47 88.498490
239 48 88.498490
240 49 88.498490
241 50 88.498490
242 51 88.498490
243 52 88.498490
244 53 88.498490
245 54 88.498490
246 55 88.498490
247 56 88.498490
248 57 88.498490
249 58 88.498490
250 59 88.498490
251 60 88.498490
252 61 88.498490
253 62 88.498490
254 63 88.498490
255 64 88.498490
256 65 88.498490
257 66 88.498490
258 67 88.498490
259 71 88.498490
260 73 88.498490
261 75 88.498490
262 76 88.498490
263 77 88.498490
264 5 88.631444
265 7 88.631444
266 9 88.631444
267 7 88.638157
268 5 88.827398
269 1 89.409649
270 2 89.573607
271 2 89.576482
272 2 89.680897
273 4 89.680897
274 5 89.680897
275 6 89.680897
276 2 89.928513
277 1 89.930347
278 2 89.930347
279 3 89.930347
280 2 89.933153
281 4 89.933153
282 5 89.933153
283 1 89.934044
284 1 89.934346
285 2 89.955923
286 2 89.956251
287 2 89.982648
288 3 89.982648
289 2 89.982807
290 2 89.992091
291 3 89.992091
292 2 89.993884
293 3 89.993884
294 4 89.993884
295 5 89.993884
296 2 89.995481
297 1 89.996551
298 2 89.998557
299 3 89.998557
300 1 89.999570
301 2 89.999570
302 3 89.999570
303 4 89.999570
304 1 89.999765
305 2 89.999838
306 3 89.999838
307 2 89.999838
308 2 89.999873
309 2 89.999884
310 2 89.999897
311 1 89.999909
312 1 89.999952
313 2 89.999965
314 1 89.999967
315 2 89.999967
316 2 89.999991
317 3 89.999991
318 2 89.999992
319 4 89.999992
320 2 89.999996
321 2 89.999997
322 4 89.999997
323 6 89.999997
324 2 89.999999
325 2 89.999999
326 2 89.999999
327 4 89.999999
328 6 89.999999
329 2 89.999999
330 2 89.999999
331 2 89.999999
332 2 89.999999
333 1 90.000000
334 2 90.000000
335 2 90.000000
336 2 90.000000
337 3 90.000000
338 4 90.000000
339 5 90.000000
340 2 90.000000
341 4 90.000000
342 2 90.000000
343 3 90.000000
344 2 90.000000
345 1 90.000000
346 1 90.000000
347 3 90.000000
348 5 90.000000
349 8 90.000000
350 7 90.000000
351 11 90.000000
352 3 90.000000
353 6 90.000000
354 1 90.000000
355 5 90.000000
356 9 90.000000
357 14 90.000000
358 21 90.000000
359 28 90.000000
360 36 90.000000
361 44 90.000000
362 53 90.000000
363 61 90.000000
364 69 90.000000
365 77 90.000000
366 85 90.000000
367 93 90.000000
368 102 90.000000
369 110 90.000000
370 118 90.000000
371 124 90.000000
372 132 90.000000
373 140 90.000000
374 148 90.000000
375 156 90.000000
376 164 90.000000
377 172 90.000000
378 180 90.000000
379 188 90.000000
380 196 90.000000
381 200 90.000000
382 200 90.000000
383 200 90.000000
384 200 90.000000
385 200 90.000000
386 200 90.000000
387 200 90.000000
388 200 90.000000
389 200 90.000000
390 200 90.000000
391 200 90.000000
392 200 90.000000
393 200 90.000000
394 200 90.000000
395 200 90.000000
396 200 90.000000
397 200 90.000000
398 200 90.000000
399 200 90.000000
400 200 90.000000
401 200 90.000000
402 200 90.000000
403 200 90.000000
404 200 90.000000
405 200 90.000000
406 200 90.000000
407 200 90.000000
408 200 90.000000
409 200 90.000000
410 200 90.000000
411 200 90.000000
412 200 90.000000
413 200 90.000000
414 200 90.000000
415 200 90.000000
416 200 90.000000
417 200 90.000000
418 200 90.000000
419 200 90.000000
420 200 90.000000
421 200 90.000000
422 200 90.000000
423 200 90.000000
424 200 90.000000
425 200 90.000000
426 200 90.000000
427 200 90.000000
428 200 90.000000
429 200 90.000000
430 200 90.000000
431 200 90.000000
432 200 90.000000
433 200 90.000000
434 200 90.000000
435 200 90.000000
436 200 90.000000
437 200 90.000000
438 200 90.000000
439 200 90.000000
440 200 90.000000
441 200 90.000000
442 200 90.000000
443 200 90.000000
444 200 90.000000
445 200 90.000000
446 200 90.000000
447 200 90.000000
448 200 90.000000
449 200 90.000000
450 200 90.000000
451 200 90.000000
452 200 90.000000
453 200 90.000000
454 200 90.000000
455 200 90.000000
456 200 90.000000
457 200 90.000000
458 200 90.000000
459 200 90.000000
460 200 90.000000
461 200 90.000000
462 200 90.000000
463 200 90.000000
464 200 90.000000
465 200 90.000000
466 200 90.000000
467 200 90.000000
468 200 90.000000
469 200 90.000000
470 200 90.000000
471 200 90.000000
472 200 90.000000
473 200 90.000000
474 200 90.000000
475 200 90.000000
476 200 90.000000
477 200 90.000000
478 200 90.000000
479 200 90.000000
480 200 90.000000
481 200 90.000000
482 200 90.000000
483 200 90.000000
484 200 90.000000
485 200 90.000000
