# iter best_consensus archive_size party0_clusters party1_clusters
0 0.0367286482 0 12 12
10 3.3323214079 0 12 180
20 4.4537064374 0 12 12
30 42.1873658662 0 12 12
40 56.3911338169 0 12 12
50 87.0107199169 5 12 12
60 87.0107199169 5 12 12
70 88.3962746028 7 12 12
80 89.5684444397 8 12 12
90 89.6870139237 8 12 12
100 89.7677512099 9 12 12
110 89.9421484848 9 12 12
120 89.9421484848 9 12 12
130 89.9650724020 9 12 12
140 89.9797906486 9 12 12
150 89.9959802013 9 12 12
160 89.9959802013 9 12 12
170 89.9975920557 9 12 12
180 89.9994258556 9 12 12
190 89.9994258556 9 12 12
200 89.9994258556 9 12 12
210 89.9997822345 10 12 12
219 89.9998681912 11 12 12
