# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 86.6482549251 675 5 12 12
10 7455 89.8157254587 1518 15 12 12
20 13705 89.9369950160 2295 17 12 12
30 19955 89.9878968605 3058 17 12 12
40 26205 89.9878968605 3813 18 12 12
50 32455 89.9974359931 4544 18 12 12
60 38705 89.9980590479 5259 19 12 12
70 44955 89.9987181481 5962 19 12 12
80 51205 89.9993903567 6731 20 12 12
90 57455 89.9995925370 7493 20 12 12
100 63705 89.9996059670 8261 21 12 12
110 69955 89.9996059670 9012 21 12 12
120 76205 89.9996059934 9743 21 12 12
130 82455 89.9996060079 10418 22 12 12
140 88705 89.9996060115 11144 23 12 12
150 94955 89.9996060117 11898 23 12 12
159 100000 89.9996060117 12521 23 12 0
