# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 70.8116142041 723 1 12 12
10 7455 89.7494953485 1653 2 12 12
20 13705 89.7494953485 2897 3 12 12
30 19955 89.9990517680 4206 3 12 12
40 26205 89.9990517680 5744 3 12 12
50 32455 89.9999301675 7114 3 12 12
60 38705 89.9999614508 8382 3 12 12
70 44955 89.9999987039 9595 3 12 12
80 51205 89.9999987039 10624 3 12 12
90 57455 89.9999999244 11553 3 12 12
100 63243 89.9999999993 12421 3 9 12
110 68821 89.9999999993 13266 3 8 12
120 74063 89.9999999999 14081 3 8 12
130 79452 89.9999999999 14934 3 6 12
140 84463 90.0000000000 15702 3 7 12
150 89873 90.0000000000 16516 3 12 12
160 96123 90.0000000000 17421 3 12 12
167 100000 90.0000000000 18034 3 12 0
