# iter best_consensus archive_size party0_clusters party1_clusters
0 28.1563331157 0 12 12
10 88.0305695534 2 12 12
20 89.5376957297 3 12 12
30 89.6009454194 3 12 12
40 89.7592933398 4 12 12
50 89.8983941468 4 12 12
60 89.9920255747 4 12 12
70 89.9920255747 4 12 12
80 89.9920255747 4 12 12
90 89.9928586325 4 12 12
100 89.9973114508 4 12 12
110 89.9997778901 5 12 12
120 89.9998877631 5 12 12
130 89.9999248402 6 12 12
140 89.9999618877 6 12 12
150 89.9999974144 6 12 12
160 89.9999974144 6 12 12
170 89.9999985793 6 12 12
180 89.9999985793 6 12 12
190 89.9999994259 6 12 12
200 89.9999999935 6 12 12
210 89.9999999935 6 12 12
219 89.9999999935 6 12 12
