# generation best_consensus ca_size
0 87.106659 40
1 87.106659 40
2 87.106659 40
3 87.106659 40
4 87.106659 40
5 87.106659 40
6 87.679202 40
7 87.679202 40
8 87.679202 40
9 87.679202 40
10 87.679202 40
11 87.679202 40
12 87.679202 40
13 87.679202 40
14 88.414557 40
15 88.414557 40
16 88.414557 40
17 88.414557 40
18 88.414557 40
19 88.414557 40
20 89.338546 40
21 89.338546 40
22 89.338546 40
23 89.888174 40
24 89.888174 40
25 89.888174 40
26 89.888174 40
27 89.888174 40
28 89.888174 40
29 89.888174 40
30 89.888174 40
31 89.888174 40
32 89.888174 40
33 89.888174 40
