# generation best_consensus ca_size
0 65.295261 134
1 70.521640 134
2 78.630425 134
3 86.520027 134
4 86.520027 134
5 86.520027 134
6 86.520027 134
7 86.520027 134
8 86.520027 134
9 86.520027 134
10 86.520027 134
11 86.520027 134
12 86.520027 134
13 86.520027 134
14 87.960875 134
15 87.960875 134
16 87.960875 134
17 87.960875 134
18 87.960875 134
19 87.960875 134
20 87.960875 134
21 87.960875 134
22 87.960875 134
23 87.960875 134
24 87.960875 134
25 87.960875 134
26 87.960875 134
27 87.960875 134
28 87.960875 134
29 87.960875 134
30 88.926714 134
31 88.926714 134
32 88.926714 134
33 88.926714 134
34 88.926714 134
35 88.926714 134
36 88.926714 134
37 88.926714 134
38 88.926714 134
39 88.926714 134
40 88.926714 134
41 88.926714 134
42 89.979677 134
43 89.979677 134
44 89.979677 134
45 89.979677 134
46 89.979677 134
47 89.979677 134
48 89.979677 134
49 89.979677 134
50 89.979677 134
