# iter best_consensus archive_size party0_clusters party1_clusters
0 0.4677188567 0 12 12
10 0.4677188567 0 180 180
20 0.4677188567 0 180 180
30 0.4677188567 0 12 180
40 0.4677188567 0 12 180
50 0.4677188567 0 12 180
60 0.4677188567 0 12 180
70 0.4677188567 0 12 180
80 0.4677188567 0 12 180
90 0.4677188567 0 12 180
100 0.4677188567 0 12 180
110 0.4677188567 0 12 180
120 0.4677188567 0 12 180
130 0.4677188567 0 12 180
140 0.4677188567 0 12 180
150 0.4677188567 0 12 180
160 0.4677188567 0 12 180
170 0.4677188567 0 12 180
180 0.4677188567 0 12 180
190 0.4677188567 0 12 180
200 0.4677188567 0 12 180
210 0.4677188567 0 12 180
219 0.4677188567 0 12 180
