# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 56.1482808764 723 0 12 12
10 7455 86.6506663437 1170 6 12 12
20 13705 88.6053870213 1895 13 12 12
30 19955 89.2953691397 2955 15 12 12
40 26205 89.9582551692 4345 18 12 12
50 32455 89.9889863009 5729 18 12 12
60 38705 89.9889863009 6908 18 12 12
70 44682 89.9889863009 8048 19 12 8
80 50218 89.9889863009 8849 19 12 8
90 55397 89.9889863009 9604 19 11 7
100 60429 89.9889863009 10319 19 10 8
110 65125 89.9889863009 10954 19 7 7
120 69296 89.9889863009 11519 19 6 8
130 73299 89.9889863009 12070 19 5 8
140 77428 89.9889863009 12604 19 5 9
150 81431 89.9889863009 13147 19 5 8
160 85371 89.9889863009 13659 19 5 8
170 88996 89.9972188945 14185 19 5 6
180 92558 89.9973514541 14704 19 6 6
190 95889 89.9974962428 15223 19 5 5
200 99241 89.9974962428 15766 19 6 5
203 100000 89.9975063005 15890 19 5 0
