# iter best_consensus archive_size party0_clusters party1_clusters
0 0.0454306657 0 12 12
10 0.0454306657 0 12 12
20 0.0454306657 0 12 12
30 0.0454306657 0 12 12
40 0.0454306657 0 12 12
50 0.0454306657 0 12 12
60 0.0454306657 0 12 12
70 0.0454306657 0 12 12
80 0.0454306657 0 12 12
90 0.0454306657 0 12 12
100 0.0454306657 0 12 12
110 0.0454306657 0 12 12
120 0.0454306657 0 12 12
130 0.0454306657 0 12 12
140 0.0454306657 0 12 12
150 0.0454306657 0 12 12
160 0.0454306657 0 12 12
170 0.0454306657 0 12 12
180 0.0454306657 0 12 12
190 0.0454306657 0 12 12
200 0.0454306657 0 12 12
210 0.0454306657 0 12 12
219 0.0454306657 0 12 12
