# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 12.4843375366 926 0 12 12
10 7455 41.2079203085 2629 0 12 12
20 13705 56.0508102639 2809 0 12 12
30 19955 80.8658171394 3506 4 12 12
40 26205 86.2879654327 4896 5 12 12
50 32455 89.2943629650 6644 6 12 12
60 38705 89.6203234939 8389 6 12 12
70 44955 89.6203234939 9811 8 12 12
80 51205 89.8120219084 10882 12 12 12
90 57455 89.9113588164 11845 12 12 12
100 63705 89.9461829681 12801 12 12 12
110 69955 89.9873111312 13729 12 12 12
120 76205 89.9942608169 14665 12 12 12
130 82455 89.9960229339 15586 12 12 12
140 88705 89.9964672456 16490 12 12 12
150 94955 89.9973412846 17381 12 12 12
159 100000 89.9989693360 18111 12 12 0
