# iter best_consensus archive_size party0_clusters party1_clusters
0 52.9469265488 0 12 12
10 87.7999037193 5 12 12
20 88.2799182149 11 12 12
30 89.7788620060 18 12 12
40 89.7788620060 21 12 12
50 89.9328257343 22 12 12
60 89.9328257343 23 12 12
70 89.9328257343 24 12 12
80 89.9825694289 25 12 12
90 89.9848553776 25 12 12
100 89.9897820736 26 12 12
110 89.9961604498 26 12 12
120 89.9975449571 26 12 12
130 89.9988453767 27 12 12
140 89.9988453767 27 12 12
150 89.9988618074 27 12 12
160 89.9992876455 27 12 12
170 89.9995550937 28 12 12
180 89.9996968709 28 12 12
190 89.9997323540 28 12 12
200 89.9997323540 28 12 12
210 89.9998173177 28 12 12
219 89.9998406518 28 12 12
