# iter best_consensus archive_size party0_clusters party1_clusters
0 19.1911024794 0 12 12
10 83.1016878731 2 12 12
20 89.3023465052 3 12 12
30 89.3287239029 5 12 12
40 89.8139414676 5 12 12
50 89.9581759710 5 12 7
60 89.9581759710 5 12 6
70 89.9841458277 5 8 7
80 89.9970208032 5 3 6
90 89.9984650865 5 3 6
100 89.9993284221 5 3 6
110 89.9997419250 5 3 6
120 89.9998176753 5 3 6
130 89.9998968389 5 3 6
140 89.9999586033 5 3 6
150 89.9999931803 5 3 6
160 89.9999994685 5 3 6
170 89.9999994685 5 3 6
180 89.9999994685 5 3 6
190 89.9999997924 5 3 6
200 89.9999999483 5 3 6
210 89.9999999682 5 3 6
219 89.9999999878 5 3 6
