# iter best_consensus archive_size party0_clusters party1_clusters
0 10.0894650458 0 12 12
10 10.0894650458 0 12 12
20 10.0894650458 0 12 12
30 10.0894650458 0 12 12
40 10.0894650458 0 12 12
50 10.0894650458 0 12 12
60 10.0894650458 0 12 12
70 10.0894650458 0 12 12
80 10.0894650458 0 12 12
90 10.0894650458 0 12 12
100 10.0894650458 0 12 12
110 10.0894650458 0 12 12
120 10.0894650458 0 12 12
130 41.7968411936 0 12 12
140 43.0787615010 0 12 12
150 82.1574856937 4 12 12
160 87.2796152557 6 12 12
170 87.2796152557 7 12 12
180 89.3714965074 8 12 12
190 89.3714965074 9 12 12
200 89.6131263006 9 12 12
210 89.9438236797 9 12 12
219 89.9438236797 9 12 12
