# iter best_consensus archive_size party0_clusters party1_clusters
0 11.3252928997 0 12 12
10 77.9358737663 2 12 12
20 89.0808782783 3 12 12
30 89.0808782783 5 12 12
40 89.5999253671 5 12 12
50 89.9335936109 5 5 7
60 89.9528132053 5 5 7
70 89.9728058831 5 5 6
80 89.9937146439 5 5 7
90 89.9984560073 5 5 6
100 89.9984560073 5 5 6
110 89.9989176355 5 5 6
120 89.9997497872 5 5 7
130 89.9999843121 5 5 7
140 89.9999843121 5 5 6
150 89.9999947040 5 5 6
160 89.9999961494 5 5 6
170 89.9999981222 5 5 6
180 89.9999994396 5 5 6
190 89.9999996440 5 5 6
200 89.9999998615 5 5 6
210 89.9999999240 5 5 6
219 89.9999999545 5 5 6
