# gen=300 party=1 competing pops
# subpop x0..x(D-1) party_fit
0 0.013449 0.203386 64.494909
1 0.731817 0.622892 50.273794
2 0.208905 0.055923 12.558827
2 0.926814 0.462317 41.856721
3 0.902434 0.527862 66.458673
3 0.231671 0.304856 41.609608
4 0.872913 0.993859 38.486890
5 0.850363 0.912741 38.486890
6 0.884956 0.898849 38.486890
7 0.922979 0.931351 38.486890
