# iter best_consensus archive_size party0_clusters party1_clusters
0 35.1457083618 0 12 12
10 75.5889728864 1 12 12
20 89.1622702019 7 12 12
30 89.5687241096 8 12 12
40 89.8214394313 8 12 12
50 89.9799069083 8 12 12
60 89.9799069083 8 12 12
70 89.9801481266 8 12 12
80 89.9955866781 8 12 12
90 89.9988204636 8 12 7
100 89.9988204636 8 12 4
110 89.9989674990 8 12 4
120 89.9999257608 8 5 4
130 89.9999257608 8 4 6
140 89.9999395653 8 4 4
150 89.9999837901 8 4 4
160 89.9999966300 8 4 4
170 89.9999966300 8 4 4
180 89.9999992832 8 4 4
190 89.9999999924 8 4 4
200 89.9999999924 8 4 4
210 89.9999999924 8 4 4
219 89.9999999924 8 4 4
