# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 85.7396368403 670 4 12 12
10 7455 89.7795688131 1581 8 12 12
20 13705 89.9252790909 2721 10 12 12
30 19955 89.9942867827 4020 10 12 12
40 26205 89.9984870017 5411 10 12 12
50 32455 89.9996070451 6660 10 12 12
60 38705 89.9999561494 7755 10 12 12
70 44724 89.9999707891 8656 10 10 12
80 49924 89.9999897123 9495 10 6 12
90 55187 89.9999997743 10313 10 8 12
100 60618 89.9999997743 11135 10 7 12
110 65734 89.9999999036 11919 10 7 10
120 70220 89.9999999771 12626 10 6 9
130 74454 89.9999999995 13331 10 5 9
140 78604 89.9999999995 13990 10 5 9
150 82754 89.9999999999 14673 10 5 9
160 86946 90.0000000000 15370 10 5 9
170 91327 90.0000000000 16095 10 6 9
180 96968 90.0000000000 16808 10 12 12
185 100000 90.0000000000 17190 10 12 12
