# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 0.0454306657 903 0 12 12
10 7455 0.0454306657 1325 0 12 12
20 13705 0.0454306657 1336 0 12 12
30 19955 0.0454306657 1347 0 12 12
40 26205 0.0454306657 1352 0 12 12
50 32455 0.0454306657 1353 0 12 12
60 38705 0.0454306657 1362 0 12 12
70 44955 0.0454306657 1368 0 12 12
80 51205 0.0454306657 1373 0 12 12
90 57455 0.0454306657 1382 0 12 12
100 63705 0.0454306657 1390 0 12 12
110 69955 0.0454306657 1396 0 12 12
120 76205 0.0454306657 1411 0 12 12
130 82455 0.0454306657 1429 0 12 12
140 88705 0.0454306657 1451 0 12 12
150 94955 0.0454340966 1462 0 12 12
159 100000 0.0454340966 1464 0 12 0
