# generation best_consensus ca_size
0 58.591345 200
1 58.591345 200
2 58.940449 200
3 58.940449 200
4 58.940449 200
5 58.940449 200
6 58.940449 200
7 58.940449 200
8 58.940449 200
9 58.940449 200
10 58.940449 200
11 58.940449 200
12 58.940449 200
13 58.940449 200
14 58.940449 200
15 58.940449 200
16 58.940449 200
17 58.940449 200
18 58.940449 200
19 58.940449 200
20 58.940449 200
21 58.940449 200
22 58.940449 200
23 58.940449 200
24 58.940449 200
25 58.940449 200
26 58.940449 200
27 58.940449 200
28 58.940449 200
29 58.940449 200
30 58.940449 200
31 58.940449 200
32 58.940449 200
33 58.940449 200
34 58.940449 200
35 58.940449 200
36 58.940449 200
37 58.940449 200
38 58.940449 200
39 58.940449 200
40 58.940449 200
41 58.940449 200
42 58.940449 200
43 58.940449 200
44 58.940449 200
45 58.940449 200
46 58.940449 200
47 58.940449 200
48 58.940449 200
49 58.940449 200
50 58.940449 200
51 58.940449 200
52 58.940449 200
53 58.940449 200
54 58.940449 200
55 58.940449 200
56 58.940449 200
57 58.940449 200
58 58.940449 200
59 58.940449 200
60 58.940449 200
61 58.940449 200
62 58.940449 200
63 58.940449 200
64 58.940449 200
65 58.940995 200
66 58.940995 200
67 58.940995 200
68 58.940995 200
69 58.940995 200
70 58.940995 200
71 58.940995 200
72 58.940995 200
73 58.940995 200
74 58.940995 200
75 58.940995 200
76 58.940995 200
77 58.940995 200
78 58.940995 200
79 58.940995 200
80 58.940995 200
81 58.940995 200
82 58.940995 200
83 58.940995 200
84 58.940995 200
85 58.940995 200
86 58.940995 200
87 58.940995 200
88 58.940995 200
89 58.940995 200
90 58.940995 200
91 58.940995 200
92 58.940995 200
93 58.940995 200
94 58.940995 200
95 58.940995 200
96 58.940995 200
97 58.940995 200
98 58.940995 200
99 58.940995 200
100 58.940995 200
101 58.940995 200
102 58.940995 200
103 58.940995 200
104 58.940995 200
105 58.940995 200
106 58.940995 200
107 58.940995 200
108 58.940995 200
109 58.940995 200
110 58.940995 200
111 58.940995 200
112 58.940995 200
113 58.940995 200
114 58.940995 200
115 58.940995 200
116 58.940995 200
117 58.940995 200
118 58.940995 200
119 58.940995 200
120 58.940995 200
121 58.940995 200
122 58.940995 200
123 58.940995 200
124 58.940995 200
125 58.940995 200
126 58.940995 200
127 58.940995 200
128 58.940995 200
129 58.940995 200
130 58.940995 200
131 58.940995 200
132 58.940995 200
133 58.940995 200
134 58.940995 200
135 58.940995 200
136 58.940995 200
137 58.940995 200
138 58.940995 200
139 58.940995 200
140 58.940995 200
141 58.940995 200
142 58.940995 200
143 58.940995 200
144 58.943121 200
145 58.943121 200
146 58.943121 200
147 58.943121 200
148 58.943121 200
149 58.943121 200
150 58.943121 200
151 58.943121 200
152 58.943121 200
153 58.943121 200
154 58.943121 200
155 58.943121 200
156 58.943121 200
157 58.943121 200
158 58.943121 200
159 58.943121 200
160 58.943121 200
161 58.943121 200
162 58.943121 200
163 58.943121 200
164 58.943121 200
165 58.943121 200
166 58.943121 200
167 58.943121 200
168 58.943121 200
169 58.943121 200
170 58.943121 200
171 58.943121 200
172 58.943121 200
173 58.943121 200
174 58.943121 200
175 58.943121 200
176 58.943121 200
177 58.943121 200
178 58.943121 200
179 58.943121 200
180 58.943121 200
181 58.943121 200
182 58.943121 200
183 58.943121 200
184 58.943121 200
185 58.943121 200
186 58.943121 200
187 58.943121 200
188 58.943121 200
189 58.943121 200
190 58.943121 200
191 58.943121 200
192 58.943121 200
193 58.943121 200
194 58.943121 200
195 58.943121 200
196 58.943121 200
197 58.943121 200
198 58.943121 200
199 58.943121 200
200 58.943121 200
201 58.943121 200
202 58.943121 200
203 58.943121 200
204 58.943401 200
205 58.943401 200
206 58.943401 200
207 58.943401 200
208 58.943401 200
209 58.943401 200
210 58.943401 200
211 58.943401 200
212 58.943401 200
213 58.943401 200
214 58.943401 200
215 58.943401 200
216 58.943401 200
217 58.943401 200
218 58.943401 200
219 58.943401 200
220 58.943401 200
221 58.943401 200
222 58.943401 200
223 58.943401 200
224 58.943401 200
225 58.943401 200
226 58.943401 200
227 58.943401 200
228 58.943401 200
229 58.943401 200
230 58.943401 200
231 58.943401 200
232 58.943401 200
233 58.943401 200
234 58.943401 200
235 58.943401 200
236 58.943401 200
237 58.944094 200
238 58.944094 200
239 58.944094 200
240 58.944094 200
241 58.944094 200
242 58.944094 200
243 58.944094 200
244 58.944094 200
245 58.944094 200
246 58.944094 200
247 58.944094 200
248 58.944094 200
249 58.944094 200
250 58.944094 200
251 58.944094 200
252 58.944094 200
253 58.944094 200
254 58.944094 200
255 58.944094 200
256 58.944094 200
257 58.944094 200
258 58.944094 200
259 58.946663 200
260 58.946663 200
261 58.946663 200
262 58.946663 200
263 58.946663 200
264 58.946663 200
265 58.946663 200
266 58.946663 200
267 58.946663 200
268 58.946663 200
269 58.946663 200
270 58.946663 200
271 58.946663 200
272 58.946663 200
273 58.946663 200
274 58.946663 200
275 58.946663 200
