algorithm,suite,D,run,status,message,runtime,resultFile,nReturned,nShared,nFoundShared,peakRecall,bestConsensus,consensusGap,meanConsensus,IGDX,GDX,minDistanceToShared,ndCount,ndRatio,highConsensusRatio,HV2D
NBN_CMEAS,1,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_1_p1_balanced\archive_consensus_optima.txt,4,2,2,1,88.478549406049,1.52145059395104,78.946042221023,2.35965578421286e-06,0.0173110820129633,6.5891420751957e-07,2,0.5,0.5,8018.14585596908
NBN_CMEAS,2,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_2_p2_unequal_basins\archive_consensus_optima.txt,6,2,2,1,89.9999999998816,1.18362208922917e-10,81.6125948949313,0.000200587924959944,0.027626814411484,2.49316361524107e-08,1,0.166666666666667,0.333333333333333,8099.99999998021
NBN_CMEAS,3,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_3_p3_local_conflict\archive_consensus_optima.txt,4,1,1,1,89.9999999999995,5.25801624462474e-13,78.2078165167815,6.10837737779837e-09,0.0309630494789696,6.10837737779837e-09,1,0.25,0.25,8099.99999999993
NBN_CMEAS,4,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_4_p4_rugged\archive_consensus_optima.txt,14,2,2,1,89.9999999999992,8.38440428196918e-13,77.6424845428405,1.70364034223728e-05,0.0412965919832742,8.28676413578303e-09,1,0.0714285714285714,0.142857142857143,8099.9999999999
NBN_CMEAS,5,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_5_p5_rotated\archive_consensus_optima.txt,3,1,1,1,90,0,76.9782316448036,3.50217823547183e-10,0.0236282426469857,3.50217823547183e-10,1,0.333333333333333,0.333333333333333,8100
NBN_CMEAS,6,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_6_p6_deceptive\archive_consensus_optima.txt,8,2,2,1,89.9999999999996,4.2632564145606e-13,79.3674007118497,0.000172024387635679,0.0377232070861389,7.14117786318118e-09,1,0.125,0.25,8099.99999999994
NBN_CMEAS,7,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_7_p7_hierarchical\archive_consensus_optima.txt,11,2,2,1,89.9999999999989,1.12265752250096e-12,79.3395084352509,2.15149844754172e-05,0.0456913844572721,1.71660641210663e-08,1,0.0909090909090909,0.363636363636364,8099.99999999981
NBN_CMEAS,8,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_8_p8_disconnected\archive_consensus_optima.txt,18,2,2,1,89.9999999999999,5.6843418860808e-14,79.8802605308123,2.74315410944071e-06,0.0737258512109083,2.49885270722442e-09,1,0.0555555555555556,0.333333333333333,8099.99999999999
NBN_CMEAS,9,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_9_p9_twenty_shared_optima\archive_consensus_optima.txt,23,20,16,0.8,89.9999999999997,2.55795384873636e-13,86.2223035375282,0.00743350074710359,0.00719130230200508,2.02847041022329e-09,1,0.0434782608695652,0.695652173913043,8099.99999999996
NBN_CMEAS,10,2,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes\D2\suite_10_p10_rotated_rugged_deceptive\archive_consensus_optima.txt,14,6,6,1,89.9999999999905,9.53548351390054e-12,80.1703746066929,0.000471383062782508,0.0207306308831994,1.14290102625037e-08,1,0.0714285714285714,0.428571428571429,8099.99999999901
