# generation best_consensus ca_size
0 50.741716 200
1 50.741716 200
2 50.741716 200
3 50.741716 200
4 50.741716 200
5 50.741716 200
6 50.741716 200
7 50.741716 200
8 50.746847 200
9 50.746847 200
10 50.746847 200
11 50.746847 200
12 50.746847 200
13 50.746847 200
14 50.746847 200
15 50.746847 200
16 50.746847 200
17 50.765560 200
18 50.765560 200
19 50.765560 200
20 50.843462 200
21 50.843462 200
22 51.046961 200
23 51.046961 200
24 51.046961 200
25 51.046961 200
26 51.046961 200
27 51.046961 200
28 51.046961 200
29 51.046961 200
30 51.046961 200
31 51.046961 200
32 51.046961 200
33 51.046961 200
34 51.046961 200
35 51.046961 200
36 51.046961 200
37 51.046961 200
38 51.046961 200
39 51.046961 200
40 51.046961 200
41 51.046961 200
42 51.046961 200
43 51.046961 200
44 51.117677 200
45 51.117677 200
46 51.117677 200
47 51.124490 200
48 51.158428 200
49 51.158428 200
50 51.200560 200
51 51.344299 200
52 51.344299 200
53 51.344299 200
54 51.344299 200
55 51.344299 200
56 51.344299 200
57 51.344344 200
58 51.345554 200
59 51.352454 200
60 51.352454 200
61 51.352454 200
62 51.352454 200
63 51.352454 200
64 51.353817 200
65 51.364387 200
66 51.364387 200
67 51.364387 200
68 51.364387 200
69 51.522476 200
70 51.544200 200
71 52.070270 200
72 52.070270 200
73 52.070270 200
74 52.070270 200
75 52.070270 200
76 52.070270 200
77 52.070270 200
78 52.678389 200
79 52.678389 200
80 52.678389 200
81 52.678389 200
82 52.678389 200
83 52.678389 200
84 52.791158 200
85 52.791158 200
86 52.791158 200
87 52.791158 200
88 52.791158 200
89 52.791158 200
90 52.791158 200
91 53.181672 200
92 53.181672 200
93 53.181672 200
94 53.181672 200
95 53.181672 200
96 53.181672 200
97 53.181672 200
98 53.181672 200
99 53.181672 200
100 53.181672 200
101 53.181672 200
102 53.439230 200
103 53.439230 200
104 53.439230 200
105 53.439230 200
106 53.439230 200
107 53.439230 200
108 53.439230 200
109 53.439230 200
110 53.439230 200
111 53.439230 200
112 53.439230 200
113 53.439230 200
114 53.439230 200
115 53.439230 200
116 53.598550 200
117 53.598550 200
118 53.598550 200
119 53.598550 200
120 53.598550 200
121 53.745759 200
122 53.745759 200
123 53.745759 200
124 53.745759 200
125 53.745759 200
126 53.745759 200
127 53.745759 200
128 53.745759 200
129 53.745759 200
130 53.745759 200
131 53.745759 200
132 53.745759 200
133 53.745759 200
134 53.745759 200
135 53.745759 200
136 53.745759 200
137 53.745759 200
138 53.745759 200
139 53.745759 200
140 53.745759 200
141 53.745759 200
142 53.745759 200
143 53.745759 200
144 53.745759 200
145 53.745759 200
146 53.745759 200
147 53.745759 200
148 53.745759 200
149 53.745759 200
150 53.745759 200
151 53.745759 200
152 53.745759 200
153 53.745759 200
154 53.745759 200
155 53.745759 200
156 53.745759 200
157 53.745759 200
158 53.745759 200
159 53.745759 200
160 53.745759 200
161 53.745759 200
162 53.745759 200
163 53.745759 200
