# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 50.3380456616 662 0 12 12
10 7455 74.2130004395 849 3 12 12
20 13705 85.7657812299 1438 6 12 12
30 19955 88.9657380977 2283 6 12 12
40 26205 89.7628988166 3233 9 12 12
50 32455 89.9200562638 4156 10 12 12
60 38705 89.9872269968 4988 11 12 12
70 44955 89.9872269968 5839 11 12 12
80 51205 89.9951949402 6708 11 12 12
90 57455 89.9987520605 7535 12 12 12
100 63705 89.9999930525 8362 12 12 12
110 69955 89.9999930525 9185 12 12 12
120 76205 89.9999977687 9991 12 12 12
130 82455 89.9999983837 10796 12 12 12
140 88705 89.9999997929 11675 13 12 12
150 94955 89.9999999616 12549 13 12 12
159 100000 89.9999999942 13244 13 12 0
