# generation pareto_front_size best_joint_fitness
1 3 80.741682
2 5 80.741682
3 7 80.741682
4 9 80.741682
5 11 80.741682
6 13 80.741682
7 15 80.741682
8 17 80.741682
9 19 80.741682
10 21 80.741682
11 23 80.741682
12 25 80.741682
13 27 80.741682
14 30 80.741682
15 32 80.741682
16 34 80.741682
17 36 80.741682
18 39 80.741682
19 41 80.741682
20 43 80.741682
21 45 80.741682
22 48 80.741682
23 51 80.741682
24 53 80.741682
25 55 80.741682
26 57 80.741682
27 59 80.741682
28 61 80.741682
29 64 80.741682
30 66 80.741682
31 70 80.741682
32 72 80.741682
33 74 80.741682
34 76 80.741682
35 79 80.741682
36 81 80.741682
37 83 80.741682
38 85 80.741682
39 89 80.741682
40 91 80.741682
41 93 80.741682
42 95 80.741682
43 97 80.741682
44 100 80.741682
45 103 80.741682
46 105 80.741682
47 108 80.741682
48 110 80.741682
49 112 80.741682
50 114 80.741682
51 117 80.741682
52 119 80.741682
53 121 80.741682
54 124 80.741682
55 127 80.741682
56 129 80.741682
57 133 80.741682
58 136 80.741682
59 141 80.741682
60 143 80.741682
61 1 80.806243
62 1 80.806243
63 1 80.823816
64 2 80.823816
65 2 80.823816
66 2 80.823816
67 3 80.823816
68 3 80.823816
69 3 80.823816
70 1 80.831848
71 1 88.873725
72 1 88.951859
73 1 88.951859
74 1 88.951859
75 1 88.951859
76 1 88.951859
77 1 88.951897
78 2 88.951897
79 6 88.951897
80 8 88.951897
81 10 88.951897
82 1 88.951903
83 1 88.951915
84 2 88.951915
85 3 88.951915
86 2 88.951915
87 3 88.951915
88 4 88.951915
89 1 88.951915
90 1 88.951915
91 3 88.951915
92 5 88.951915
93 8 88.951915
94 11 88.951915
95 13 88.951915
96 15 88.951915
97 17 88.951915
98 20 88.951915
99 1 88.952339
100 3 88.952339
101 7 88.952339
102 11 88.952339
103 16 88.952339
104 21 88.952339
105 28 88.952339
106 1 88.952349
107 4 88.952349
108 7 88.952349
109 11 88.952349
110 14 88.952349
111 17 88.952349
112 21 88.952349
113 25 88.952349
114 29 88.952349
115 32 88.952349
116 38 88.952349
117 42 88.952349
118 45 88.952349
119 49 88.952349
120 55 88.952349
121 59 88.952349
122 64 88.952349
123 67 88.952349
124 71 88.952349
125 74 88.952349
126 77 88.952349
127 80 88.952349
128 84 88.952349
129 87 88.952349
130 91 88.952349
131 95 88.952349
132 100 88.952349
133 105 88.952349
134 108 88.952349
135 113 88.952349
136 118 88.952349
137 121 88.952349
138 125 88.952349
139 129 88.952349
140 134 88.952349
141 142 88.952349
142 146 88.952349
143 152 88.952349
144 159 88.952349
145 163 88.952349
146 169 88.952349
147 172 88.952349
148 178 88.952349
149 182 88.952349
150 187 88.952349
151 190 88.952349
152 193 88.952349
153 197 88.952349
154 200 88.952349
155 200 88.952349
156 200 88.952349
157 200 88.952349
158 200 88.952349
159 200 88.952349
160 200 88.952349
161 200 88.952349
162 200 88.952349
163 200 88.952349
164 200 88.952349
165 200 88.952349
166 200 88.952349
167 200 88.952349
168 200 88.952349
169 200 88.952349
170 200 88.952349
171 200 88.952349
172 200 88.952349
173 200 88.952349
174 200 88.952349
175 200 88.952349
176 200 88.952349
177 200 88.952349
178 200 88.952349
179 200 88.952349
180 200 88.952349
181 200 88.952349
182 200 88.952349
183 200 88.952349
184 200 88.952349
185 200 88.952349
186 200 88.952349
187 200 88.952349
188 200 88.952349
189 200 88.952349
190 200 88.952349
191 200 88.952349
192 200 88.952349
193 200 88.952349
194 200 88.952349
195 200 88.952349
196 200 88.952349
197 200 88.952349
198 200 88.952349
199 200 88.952349
200 200 88.952349
201 200 88.952349
202 200 88.952349
203 200 88.952349
204 200 88.952349
205 200 88.952349
206 200 88.952349
207 200 88.952349
208 200 88.952349
209 200 88.952349
210 200 88.952349
211 200 88.952349
212 200 88.952349
213 200 88.952349
214 200 88.952349
215 200 88.952349
216 200 88.952349
217 200 88.952349
218 200 88.952349
219 200 88.952349
220 200 88.952349
221 1 89.089789
222 4 89.089789
223 9 89.089789
224 12 89.089789
225 17 89.089789
226 22 89.089789
227 25 89.089789
228 30 89.089789
229 34 89.089789
230 38 89.089789
231 43 89.089789
232 48 89.089789
233 52 89.089789
234 60 89.089789
235 64 89.089789
236 72 89.089789
237 78 89.089789
238 83 89.089789
239 86 89.089789
240 1 89.124182
241 4 89.124182
242 7 89.124182
243 10 89.124182
244 16 89.124182
245 21 89.124182
246 25 89.124182
247 31 89.124182
248 34 89.124182
249 37 89.124182
250 41 89.124182
251 1 89.158589
252 4 89.158589
253 7 89.158589
254 11 89.158589
255 15 89.158589
256 19 89.158589
257 22 89.158589
258 27 89.158589
259 32 89.158589
260 35 89.158589
261 39 89.158589
262 43 89.158589
263 46 89.158589
264 50 89.158589
265 53 89.158589
266 57 89.158589
267 60 89.158589
268 66 89.158589
269 69 89.158589
270 72 89.158589
271 76 89.158589
272 79 89.158589
273 83 89.158589
274 87 89.158589
275 92 89.158589
276 96 89.158589
277 100 89.158589
278 103 89.158589
279 107 89.158589
280 110 89.158589
281 114 89.158589
282 117 89.158589
283 121 89.158589
284 125 89.158589
285 129 89.158589
286 135 89.158589
287 139 89.158589
288 144 89.158589
289 148 89.158589
290 151 89.158589
291 155 89.158589
292 158 89.158589
293 163 89.158589
294 166 89.158589
295 170 89.158589
296 174 89.158589
297 178 89.158589
298 184 89.158589
299 187 89.158589
300 191 89.158589
