# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 0.2608338018 963 0 12 12
10 7455 0.2608338018 1574 0 12 12
20 13705 0.2608338018 1576 0 12 12
30 19955 0.2608424826 1578 0 12 12
40 26205 0.2608424826 1579 0 12 12
50 32455 0.2608424826 1579 0 12 12
60 38705 0.2712705422 1585 0 12 12
70 44955 0.2712705422 1614 0 12 12
80 51205 0.3137832538 1757 0 12 12
90 57455 0.8441568583 2173 0 12 12
100 63705 3.0578436652 2537 0 12 12
110 69955 5.9179028599 2862 0 12 12
120 76205 13.4161683467 3131 0 12 12
130 82455 32.1398864739 3400 0 12 12
140 88705 44.3164613053 3686 0 12 12
150 94955 49.1541093377 4026 0 12 12
159 100000 61.9216948959 4385 0 12 0
