# iter best_consensus archive_size party0_clusters party1_clusters
0 0.1876775711 0 12 12
10 0.1876775711 0 180 180
20 0.1876775711 0 180 12
30 0.1876775711 0 180 12
40 0.1876775711 0 180 12
50 0.1876775711 0 180 12
60 0.1876775711 0 180 12
70 0.1876775711 0 180 12
80 0.1876775711 0 180 12
90 0.1876775711 0 180 12
100 0.1876775711 0 180 12
110 0.1876775711 0 180 12
120 0.1876775711 0 180 12
130 0.1876775711 0 180 12
140 0.1876775711 0 180 12
150 0.1876775711 0 180 12
160 0.1876775711 0 180 12
170 0.1876775711 0 180 12
180 0.1876775711 0 180 12
190 0.1876775711 0 180 12
200 0.1876775711 0 180 12
210 0.1876775711 0 180 12
219 0.1876775711 0 180 12
