# generation best_consensus ca_size
0 9.320684 200
1 9.878308 200
2 9.878308 200
3 9.878308 200
4 17.689364 200
5 17.689364 200
6 17.689364 200
7 17.689364 200
8 17.689364 200
9 17.689364 200
10 31.463944 200
11 31.463944 200
12 31.463944 200
13 31.463944 200
14 31.463944 200
15 31.463944 200
16 31.463944 200
17 33.853435 200
18 33.853435 200
19 33.853435 200
20 33.853435 200
21 33.853435 200
22 33.853435 200
23 33.853435 200
24 33.853435 200
25 33.853435 200
26 33.853435 200
27 33.853435 200
28 33.853435 200
29 33.853435 200
30 33.853435 200
31 33.853435 200
32 33.853435 200
33 33.853435 200
34 33.853435 200
35 33.853435 200
36 33.853435 200
37 33.853435 200
38 33.853435 200
39 33.853435 200
40 33.853435 200
41 33.853435 200
42 33.853435 200
43 33.853435 200
44 33.853435 200
45 33.853435 200
46 33.853435 200
47 33.853435 200
48 33.853435 200
49 33.853435 200
50 33.853435 200
51 33.853435 200
52 33.853435 200
53 33.853435 200
54 33.853435 200
55 33.853435 200
56 33.853435 200
57 33.853435 200
58 33.853435 200
59 33.853435 200
60 33.853435 200
61 33.853435 200
62 33.853435 200
63 33.853435 200
64 33.853435 200
65 33.853435 200
66 33.853435 200
67 33.853435 200
68 33.853435 200
69 33.853435 200
70 33.853435 200
71 33.853435 200
72 33.853435 200
73 33.853435 200
74 33.853435 200
75 33.853435 200
76 33.853435 200
77 33.853435 200
78 33.853435 200
79 33.853435 200
80 33.853435 200
81 33.853435 200
82 33.853435 200
83 33.853435 200
84 33.853435 200
85 33.853435 200
86 33.853435 200
87 33.853435 200
88 33.853435 200
89 33.853435 200
90 33.853435 200
91 33.853435 200
92 33.853435 200
93 33.853435 200
94 33.853435 200
95 33.853435 200
96 33.853435 200
97 33.853435 200
98 33.853435 200
99 33.853435 200
100 33.853435 200
101 33.853435 200
102 33.853435 200
103 33.853435 200
104 33.853435 200
105 33.853435 200
106 33.853435 200
107 33.853435 200
108 33.853435 200
109 33.853435 200
110 33.853435 200
111 33.853435 200
112 33.853435 200
113 33.853435 200
114 33.853435 200
115 33.853435 200
116 33.853435 200
117 33.853435 200
118 33.853435 200
119 33.853435 200
120 33.853435 200
121 33.853435 200
122 33.853435 200
123 33.853435 200
124 33.853435 200
125 33.853435 200
126 33.853435 200
127 33.853435 200
128 33.853435 200
129 33.853435 200
130 33.853435 200
131 33.853435 200
132 33.853435 200
133 33.853435 200
134 33.853435 200
135 33.853435 200
136 33.853435 200
137 33.853435 200
138 67.526105 200
139 67.526105 200
140 67.526105 200
141 67.526105 200
142 67.526105 200
143 67.526105 200
144 67.526105 200
145 67.526105 200
146 67.526105 200
147 67.526105 200
148 67.526105 200
149 67.526105 200
150 67.526105 200
151 67.526105 200
152 67.526105 200
153 67.526105 200
154 67.526105 200
155 67.526105 200
156 67.526105 200
157 67.526105 200
158 67.526105 200
159 67.526105 200
160 67.526105 200
161 67.526105 200
162 67.526105 200
163 67.526105 200
164 67.526105 200
165 67.526105 200
166 67.526105 200
167 67.526105 200
168 67.526105 200
169 67.526105 200
170 67.526105 200
171 67.526105 200
172 67.526105 200
173 67.526105 200
174 67.526105 200
175 67.526105 200
176 67.526105 200
177 67.526105 200
178 67.526105 200
179 67.526105 200
180 67.526105 200
181 67.526105 200
182 67.526105 200
183 67.526105 200
184 67.526105 200
185 67.526105 200
186 67.526105 200
187 67.526105 200
188 67.526105 200
189 67.526105 200
190 67.526105 200
191 67.526105 200
192 67.526105 200
193 67.526105 200
194 67.526105 200
195 67.526105 200
196 67.526105 200
197 67.526105 200
198 67.526105 200
199 67.526105 200
200 67.526105 200
201 67.526105 200
202 67.526105 200
203 67.526105 200
204 67.526105 200
205 67.526105 200
206 67.526105 200
207 67.526105 200
208 67.526105 200
209 67.526105 200
210 67.526105 200
211 67.526105 200
212 67.526105 200
213 67.526105 200
214 67.526105 200
215 67.526105 200
216 67.526105 200
217 67.526105 200
218 67.526105 200
219 67.526105 200
220 67.526105 200
221 67.526105 200
222 67.526105 200
223 67.526105 200
224 67.526105 200
225 67.526105 200
226 67.526105 200
227 67.526105 200
228 67.526105 200
229 67.526105 200
230 67.526105 200
231 67.526105 200
232 67.526105 200
233 67.526105 200
234 67.526105 200
235 67.526105 200
236 67.526105 200
237 67.526105 200
238 67.526105 200
239 67.526105 200
240 67.526105 200
241 67.526105 200
242 67.526105 200
243 67.526105 200
244 67.526105 200
245 67.526105 200
246 67.526105 200
247 67.526105 200
248 67.526105 200
249 67.526105 200
250 67.526105 200
251 67.526105 200
252 67.526105 200
253 67.526105 200
254 67.526105 200
255 67.526105 200
256 67.526105 200
257 67.526105 200
258 67.526105 200
259 67.526105 200
260 67.526105 200
261 67.526105 200
262 67.526105 200
263 67.526105 200
264 67.526105 200
265 67.526105 200
266 67.526105 200
267 67.526105 200
268 67.526105 200
269 67.526105 200
270 67.526105 200
271 67.526105 200
272 67.526105 200
273 67.526105 200
274 67.526105 200
275 67.526105 200
276 67.526105 200
277 67.526105 200
278 67.526105 200
279 67.526105 200
280 67.526105 200
281 67.526105 200
282 67.526105 200
283 67.526105 200
284 67.526105 200
285 67.526105 200
286 67.526105 200
287 67.526105 200
288 67.526105 200
289 67.526105 200
