# generation best_consensus ca_size
0 74.074384 74
1 88.610911 74
2 88.610911 74
3 88.610911 74
4 88.610911 74
5 88.610911 74
6 88.610911 74
7 88.610911 74
8 88.610911 74
9 88.610911 74
10 88.610911 74
11 88.610911 74
12 88.610911 74
13 88.610911 74
14 88.610911 74
15 88.610911 74
16 88.610911 74
17 88.610911 74
18 88.610911 74
19 88.610911 74
20 88.610911 74
21 88.610911 74
22 88.610911 74
23 88.610911 74
24 88.610911 74
25 88.610911 74
26 88.610911 74
27 88.610911 74
28 88.610911 74
29 88.610911 74
30 88.610911 74
31 88.610911 74
32 88.610911 74
33 88.610911 74
34 88.610911 74
35 88.610911 74
36 88.610911 74
37 88.697126 74
38 88.697126 74
39 88.697126 74
40 88.697126 74
41 88.697126 74
42 88.697126 74
43 88.697126 74
44 88.697126 74
45 89.609798 74
46 89.609798 74
47 89.609798 74
48 89.609798 74
49 89.609798 74
50 89.609798 74
