# iter best_consensus archive_size party0_clusters party1_clusters
0 4.1162338549 0 12 12
10 34.4430315353 0 12 12
20 83.5077208073 1 12 12
30 83.5077208073 1 12 12
40 83.5077208073 3 12 12
50 86.9821288452 3 12 12
60 88.6034603003 3 12 12
70 89.0527751434 3 12 12
80 89.5132109629 3 12 12
90 89.7556195900 4 12 12
100 89.8363122448 4 12 12
110 89.9622739886 4 12 12
120 89.9622739886 4 12 12
130 89.9622739886 4 12 12
140 89.9836043028 4 12 12
150 89.9886150543 4 12 12
160 89.9886150543 4 12 12
170 89.9907584486 4 12 12
180 89.9915721993 4 12 12
190 89.9940318160 4 12 12
200 89.9963639314 4 12 12
210 89.9967099235 4 12 12
219 89.9978818046 4 12 12
