# iter best_consensus archive_size party0_clusters party1_clusters
0 4.8451049696 0 12 12
10 20.8134311877 0 12 12
20 40.8134411921 0 12 12
30 70.1093751731 1 12 12
40 79.9288185632 3 12 12
50 86.6998750266 4 12 12
60 87.5482016609 4 12 12
70 89.4432191885 4 12 12
80 89.4432191885 4 12 12
90 89.9101695724 4 12 12
100 89.9101695724 4 12 12
110 89.9851709274 4 12 12
120 89.9851709274 4 12 12
130 89.9851709274 4 12 12
140 89.9936747071 4 12 12
150 89.9940991880 4 12 12
160 89.9962738040 4 12 12
170 89.9962738040 4 12 12
180 89.9982063706 4 12 12
190 89.9986293108 4 12 12
200 89.9991125064 4 12 12
210 89.9993357734 4 12 12
219 89.9994058654 4 12 12
