# iter best_consensus archive_size party0_clusters party1_clusters
0 82.0106648766 3 12 12
10 89.9665870756 6 12 12
20 89.9665870756 6 12 12
30 89.9665870756 6 12 12
40 89.9691213691 6 12 12
50 89.9956081871 6 12 12
60 89.9956081871 6 12 12
70 89.9973065401 6 12 12
80 89.9981934580 6 12 12
90 89.9981934580 6 12 12
100 89.9994692100 6 11 12
110 89.9994692100 6 8 12
120 89.9996340368 6 7 11
130 89.9998999345 6 4 11
140 89.9999313595 6 3 11
150 89.9999802271 6 3 11
160 89.9999951958 6 3 10
170 89.9999999926 6 3 9
180 89.9999999926 6 4 9
190 89.9999999926 6 3 10
200 89.9999999926 6 3 10
210 89.9999999985 6 3 10
219 89.9999999999 6 3 10
