algorithm,suite,D,run,status,message,runtime,resultFile,nReturned,nShared,nFoundShared,peakRecall,bestConsensus,consensusGap,meanConsensus,IGDX,GDX,minDistanceToShared,ndCount,ndRatio,highConsensusRatio,HV2D
NBN_CMEAS,5,3,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D3\suite_5_p5_rotated\archive_consensus_optima.txt,5,1,1,1,89.9999999999076,9.23989773582434e-11,79.0874202573799,4.81102511293929e-08,0.0421065303259876,4.81102511293929e-08,1,0.2,0.2,8099.99999998978
NBN_CMEAS,6,3,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D3\suite_6_p6_deceptive\archive_consensus_optima.txt,5,2,2,1,89.9122730216144,0.0877269783856036,82.3801218876146,0.00143513543631582,0.0168503213704852,0.000837925565455015,1,0.2,0.4,8087.73381833724
NBN_CMEAS,7,3,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D3\suite_7_p7_hierarchical\archive_consensus_optima.txt,19,2,2,1,89.9975062997004,0.00249370029962392,77.7791006561497,0.00145262767535931,0.03905183605566,0.000449551806865726,1,0.0526315789473684,0.263157894736842,8099.55131752576
NBN_CMEAS,8,3,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D3\suite_8_p8_disconnected\archive_consensus_optima.txt,8,2,2,1,89.9962210023699,0.00377899763005018,82.0859685080925,0.000951674012847774,0.0513278197045313,0.0007339951175936,1,0.125,0.5,8099.40368257062
NBN_CMEAS,9,3,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D3\suite_9_p9_twenty_shared_optima\archive_consensus_optima.txt,27,20,7,0.35,89.996425595318,0.00357440468202697,77.1968604795802,0.194317836903678,0.0271812590339626,0.000584440687017484,1,0.037037037037037,0.259259259259259,8099.40184507818
NBN_CMEAS,10,3,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D3\suite_10_p10_rotated_rugged_deceptive\archive_consensus_optima.txt,20,6,6,1,89.9974798467197,0.00252015328031518,78.7547642448184,0.00841958029751594,0.0368152283769169,0.000551505231281816,1,0.05,0.4,8099.56003793949
NBN_CMEAS,11,3,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D3\suite_11_p11_hierarchical_disconnected\archive_consensus_optima.txt,13,8,8,1,89.9999999942134,5.78663161832083e-09,82.1199366546624,0.00460252304769735,0.0162063999124355,2.43843824403307e-07,1,0.0769230769230769,0.615384615384615,8099.99999915944
NBN_CMEAS,12,3,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D3\suite_12_p12_full_mixed_multimodal\archive_consensus_optima.txt,38,16,13,0.8125,89.9999641416518,3.5858348226725e-05,79.0270062942819,0.0473255762388123,0.0298677230753065,7.01235002609364e-05,1,0.0263157894736842,0.368421052631579,8099.99461689937
NBN_CMEAS,1,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_1_p1_balanced\archive_all_history.txt,1464,2,0,0,0.0454340965845006,89.9545659034155,0.00753651630264991,0.18902576246633,0.801817082298732,0.184522148850618,4,0.00273224043715847,0,0.152216976999431
NBN_CMEAS,2,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_2_p2_unequal_basins\archive_all_history.txt,2624,2,0,0,7.02629999207622,82.9737000079238,5.02388328021887,0.201523770980534,0.558618771906936,0.187304364594871,3,0.00114329268292683,0,303.866599150531
NBN_CMEAS,3,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_3_p3_local_conflict\archive_consensus_optima.txt,3,1,1,1,89.9992590497786,0.000740950221356229,83.4344493993432,0.000157701509170741,0.0179933712618963,0.000157701509170741,1,0.333333333333333,0.333333333333333,8099.87790458995
NBN_CMEAS,4,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_4_p4_rugged\archive_consensus_optima.txt,12,2,2,1,89.9934509739593,0.00654902604073015,79.6164720026874,0.00194275796308069,0.0344578415397336,0.000627944954819053,1,0.0833333333333333,0.333333333333333,8098.90455129523
