algorithm,suite,D,GroupCount,mean_peakRecall,mean_bestConsensus,mean_IGDX,mean_nFoundShared
HHCMMEA,1,2,1,1,88.4785288453731,1.49569574693772e-05,2
HHCMMEA,1,3,1,0.5,88.7510525083775,0.223195988477615,1
HHCMMEA,1,5,1,0,0.046786118461327,0.812198704400082,0
HHCMMEA,1,10,1,0,2.15868233510719e-05,1.34986723609803,0
HHCMMEA,2,2,1,0.5,89.9994253726434,0.36225639795946,1
HHCMMEA,2,3,1,0.5,89.9999906146765,0.270493725120937,1
HHCMMEA,2,5,1,0,7.02629999207622,0.599603025472708,0
HHCMMEA,2,10,1,0,0.62625865425693,1.27425363206505,0
HHCMMEA,3,2,1,1,89.9999999674173,4.53773404094838e-07,1
HHCMMEA,3,3,1,1,89.9999451963083,0.000111886034402563,1
HHCMMEA,3,5,1,1,89.9997641502994,8.22658351931546e-05,1
HHCMMEA,3,10,1,0,0.03641806523936,1.03922484159721,0
HHCMMEA,4,2,1,0.5,89.999999999996,0.156513526194061,1
HHCMMEA,4,3,1,0.5,89.9999930037569,0.245228639548061,1
HHCMMEA,4,5,1,0.5,89.9999801602528,0.404940790505139,1
HHCMMEA,4,10,1,0,9.57546099868978e-05,0.684158929100256,0
HHCMMEA,5,2,1,1,89.9999995002561,2.76880432310764e-06,1
HHCMMEA,5,3,1,1,89.9972584939239,0.000689703509007542,1
HHCMMEA,5,5,1,1,89.9998113928655,0.000105705337693438,1
HHCMMEA,5,10,1,0,0.260833801844939,1.24245669772955,0
HHCMMEA,6,2,1,0.5,89.9999999477673,0.310284472486226,1
HHCMMEA,6,3,1,0.5,89.9979069264008,0.307013491954237,1
HHCMMEA,6,5,1,0.5,89.9969490331976,0.394967410779273,1
HHCMMEA,6,10,1,0,0.125866886187083,1.33834634957662,0
HHCMMEA,7,2,1,0.5,89.9999999947675,0.330832793679531,1
HHCMMEA,7,3,1,0.5,89.9999839239684,0.42441058373029,1
HHCMMEA,7,5,1,0,10.0894650458246,0.655419109551336,0
HHCMMEA,7,10,1,0,0.941693935511324,1.41311982937865,0
HHCMMEA,8,2,1,0.5,89.9999974658599,0.204310703545361,1
HHCMMEA,8,3,1,0.5,89.9999457893392,0.291493111578458,1
HHCMMEA,8,5,1,0.5,89.9981088156461,0.437803852413846,1
HHCMMEA,9,3,1,0.05,89.9999963819799,0.549006973988238,1
HHCMMEA,9,5,1,0.05,89.9997069154354,0.78034516669427,1
HHCMMEA,9,10,1,0,0.00024846953148483,1.10785182210643,0
HHCMMEA,10,2,1,0.166666666666667,89.9999999670116,0.512956143814524,1
HHCMMEA,10,3,1,0.166666666666667,89.9999667924101,0.606002279504962,1
HHCMMEA,10,5,1,0.166666666666667,89.9958206073055,0.639701261875179,1
HHCMMEA,10,10,1,0,0.965279365164221,1.13679478185441,0
HHCMMEA,11,2,1,0.125,89.9999982009559,0.511997046339575,1
HHCMMEA,11,3,1,0.125,89.9999856595857,0.827132701116492,1
HHCMMEA,11,5,1,0.125,89.9999843965751,0.628692486296699,1
HHCMMEA,11,10,1,0,0.467718856730201,1.32665590918698,0
