algorithm,suite,D,nFoundShared,bestConsensus
MMEAWI,2,5,0,7.02629999207622
MMEAWI,3,5,1,89.9999989853611
MMEAWI,4,5,0,13.0648706039322
MMEAWI,5,5,1,89.9998679445478
MMEAWI,6,5,1,89.9999543642942
MMEAWI,7,5,0,10.0894650458246
MMEAWI,8,5,0,11.6542931877659
MMEAWI,10,5,1,89.9999807120148
MMEAWI,11,5,1,89.9999572124224
MMEAWI,1,10,0,2.15868233510719e-05
MMEAWI,2,10,0,0.62625865425693
MMEAWI,3,10,0,0.03641806523936
MMEAWI,4,10,0,9.57546099868978e-05
MMEAWI,5,10,0,0.260833801844939
MMEAWI,6,10,0,0.961269631568868
MMEAWI,7,10,0,0.941693935511324
MMEAWI,9,10,0,0.00024846953148483
MMEAWI,10,10,1,89.9971855287655
MMEAWI,11,10,0,0.467718856730201
MMEAWI,12,10,0,1.44423282752527
MMOEABH,1,2,1,88.2497542910045
MMOEABH,2,2,2,89.9999999781286
MMOEABH,3,2,0,64.8122282167226
MMOEABH,4,2,1,89.9998617876379
MMOEABH,5,2,1,89.9999969287062
MMOEABH,6,2,2,89.9999938189462
MMOEABH,7,2,1,89.9999526233494
MMOEABH,8,2,1,89.9999977167827
MMOEABH,10,2,4,89.999998846194
MMOEABH,11,2,3,89.9999997837994
MMOEABH,12,2,5,89.9999999985471
MMOEABH,1,3,2,90.5734397989609
MMOEABH,2,3,1,89.9999815688794
MMOEABH,3,3,1,89.9602381454095
MMOEABH,4,3,1,89.9987872375338
MMOEABH,5,3,1,89.9995539732195
MMOEABH,6,3,1,89.9999463493294
MMOEABH,7,3,1,89.9989739133722
MMOEABH,8,3,1,89.9999692673762
MMOEABH,10,3,1,89.999998749507
MMOEABH,11,3,4,89.9999932060967
MMOEABH,12,3,4,89.9999987725289
MMOEABH,1,5,1,87.7747000479789
MMOEABH,2,5,1,89.9969794597682
MMOEABH,3,5,1,89.9741847036035
MMOEABH,4,5,0,12.4812972808173
MMOEABH,5,5,1,89.4829466023375
MMOEABH,6,5,2,89.9813103133114
MMOEABH,7,5,2,89.9999004127153
MMOEABH,8,5,2,89.9931785242796
MMOEABH,10,5,4,89.99989871234
MMOEABH,11,5,3,89.9999822926512
MMOEABH,1,10,0,2.15868233510719e-05
MMOEABH,2,10,0,0.62625865425693
MMOEABH,3,10,1,89.9976234982833
MMOEABH,4,10,1,89.8499067511219
MMOEABH,5,10,1,89.571565750551
MMOEABH,6,10,0,0.459531576390816
MMOEABH,7,10,0,0.941693935511324
MMOEABH,9,10,0,0.000928192899607438
MMOEABH,10,10,1,89.8547770137928
MMOEABH,11,10,1,89.9893292799373
MMOEABH,12,10,1,89.9672343306654
MMOPSO,1,2,1,88.4785494117179
MMOPSO,2,2,1,90
MMOPSO,3,2,1,90
MMOPSO,4,2,1,90
MMOPSO,5,2,1,90
MMOPSO,6,2,1,90
MMOPSO,7,2,1,90
MMOPSO,8,2,1,90
MMOPSO,10,2,1,90
MMOPSO,11,2,1,90
MMOPSO,12,2,1,90
MMOPSO,1,3,1,88.7510606421465
MMOPSO,2,3,1,90
MMOPSO,3,3,1,90
MMOPSO,4,3,1,90
MMOPSO,5,3,1,90
MMOPSO,6,3,1,90
MMOPSO,7,3,1,90
MMOPSO,8,3,1,90
MMOPSO,10,3,1,90
MMOPSO,11,3,1,90
MMOPSO,12,3,1,90
MMOPSO,1,5,0,0.0465244769650752
MMOPSO,2,5,0,7.02629999207622
MMOPSO,3,5,1,90
MMOPSO,4,5,1,89.9999999518036
MMOPSO,5,5,1,90
MMOPSO,6,5,1,90
MMOPSO,7,5,0,10.0894650458246
MMOPSO,8,5,1,90
MMOPSO,10,5,1,90
MMOPSO,11,5,1,90
MMOPSO,12,5,1,90
MMOPSO,1,10,0,2.15868233510719e-05
MMOPSO,2,10,0,0.62625865425693
MMOPSO,3,10,1,89.9999999999999
MMOPSO,4,10,0,1.1828421492055e-05
MMOPSO,5,10,1,89.9999999999997
MMOPSO,6,10,0,0.458293165904877
MMOPSO,7,10,0,0.941693935511324
MMOPSO,8,10,0,0.187677571105155
MMOPSO,9,10,1,89.9982826426731
MMOPSO,10,10,1,89.9999999999978
MMOPSO,11,10,1,89.9999999999989
MMOPSO,12,10,1,89.9999999999999
NBN_CMEAS,1,2,2,88.4785494117038
NBN_CMEAS,2,2,2,89.9999999999991
NBN_CMEAS,3,2,1,90
NBN_CMEAS,4,2,2,90
NBN_CMEAS,5,2,1,90
NBN_CMEAS,6,2,2,89.9928958706859
NBN_CMEAS,7,2,2,90
NBN_CMEAS,8,2,2,89.9999999999633
NBN_CMEAS,9,2,13,89.9996060113531
NBN_CMEAS,10,2,6,89.9959014540852
NBN_CMEAS,11,2,8,89.9996638569843
NBN_CMEAS,12,2,16,89.9999999999176
NBN_CMEAS,1,3,2,90.5694996690408
NBN_CMEAS,2,3,2,89.999867259249
NBN_CMEAS,3,3,1,89.99999999998
NBN_CMEAS,4,3,2,89.9999987131986
NBN_CMEAS,5,3,1,89.9999999999076
NBN_CMEAS,6,3,2,89.9122730216144
NBN_CMEAS,7,3,2,89.9975062997004
