algorithm,D,GroupCount,mean_peakRecall,mean_bestConsensus,mean_IGDX,mean_nFoundShared,mean_runtime,completedTasks
HHCMMEA,2,11,0.53219696969697,89.8616317087266,0.273136523205938,1.09090909090909,12.1027600909091,11
HHCMMEA,3,12,0.450347222222222,89.8955013433787,0.368511586736462,1,11.7022544416667,12
HHCMMEA,5,12,0.325347222222222,68.9293768013401,0.507793192435676,0.75,12.8724459333333,12
HHCMMEA,10,11,0,0.442606200311286,1.20220953179033,0,40.1616783909091,11
MMEAARM,2,11,0.882575757575758,89.8511830824633,0.0412113817112286,2.63636363636364,47.1488721545455,11
MMEAARM,3,10,0.683333333333333,89.1533178229488,0.0376756121485133,1.5,24.26485505,10
MMEAARM,5,10,0.516666666666667,68.3122926615464,0.169406110225165,1.1,29.73894099,10
MMEAARM,10,11,0.0909090909090909,17.6056521636703,0.766883589455744,0.0909090909090909,9.46179297272727,11
MMEAWI,2,11,0.53219696969697,89.8616829824258,0.264953444401547,1.09090909090909,48.0316929090909,11
MMEAWI,3,11,0.486742424242424,90.0521272405911,0.337470726574386,1,41.2584866454545,11
MMEAWI,5,10,0.279166666666667,49.1882398945224,0.506367863811769,0.5,40.57455478,10
MMEAWI,10,11,0.0151515151515152,8.61236155567338,0.898816743668827,0.0909090909090909,87.1937052818182,11
MMOEABH,2,11,0.577651515151515,87.5510712718017,0.132968975717556,1.90909090909091,50.2728023363636,11
MMOEABH,3,11,0.583333333333333,90.048261907474,0.209656548520086,1.63636363636364,37.6523365727273,11
MMOEABH,5,10,0.704166666666667,81.9684378349803,0.175818872092932,1.7,63.6930135,10
MMOEABH,10,11,0.259469696969697,49.2053518700212,0.557067552803684,0.545454545454545,52.3606410363636,11
MMOPSO,2,11,0.486742424242424,89.8616863101562,0.266834720705606,1,6.93317834545455,11
MMOPSO,3,11,0.486742424242424,89.886460058377,0.330362878481217,1,15.9426998181818,11
MMOPSO,5,11,0.350378787878788,67.0147535878791,0.477958221211863,0.727272727272727,7.33666647272727,11
MMOPSO,10,12,0.200347222222222,45.1843532820577,0.742062951276053,0.5,8.82252311666667,12
NBN_CMEAS,2,12,0.970833333333333,89.872218050391,0.00430622953921741,4.75,NaN,12
NBN_CMEAS,3,12,0.930208333333333,90.0391029619136,0.0218206961085547,4,NaN,12
NBN_CMEAS,5,12,0.528819444444444,74.0152141245479,0.140077277513449,1.91666666666667,NaN,12
NBN_CMEAS,10,12,0.00520833333333333,15.544267559958,0.456451106504757,0.0833333333333333,NaN,12
