# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 54.9342107543 841 0 12 12
10 7455 87.5188969891 1994 10 12 12
20 13705 89.4354710077 2981 14 12 12
30 19955 89.8726996929 4203 16 12 12
40 26205 89.9065608769 5369 17 12 12
50 32455 89.9617295209 6650 17 12 12
60 38705 89.9743202960 7933 17 12 12
70 44955 89.9802423960 9206 17 12 12
80 51205 89.9824895902 10211 17 12 12
90 57455 89.9896195987 11186 18 12 12
100 63600 89.9940617223 12108 18 12 9
110 68884 89.9970154696 12894 18 10 7
120 73874 89.9999068684 13629 18 11 7
130 78738 89.9999068684 14304 18 9 9
140 83203 89.9999716134 14930 19 7 8
150 87458 89.9999947741 15481 20 6 8
160 92007 89.9999976259 16095 20 5 10
170 96430 89.9999987132 16700 20 6 10
178 100000 89.9999987132 17193 20 6 10
