# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 85.0162512466 741 1 12 12
10 7455 87.8225199738 1781 3 12 12
20 13705 88.1549733061 2910 3 12 12
30 19955 88.4531488166 4008 3 12 12
40 26205 88.4531488166 5038 3 12 12
50 32455 88.4729983186 6140 4 12 12
60 38705 88.4773269903 7298 4 12 12
70 44955 88.4778287937 8556 4 12 12
80 51205 88.4784845933 9772 4 12 12
90 57455 88.4785491555 10991 4 12 12
100 63705 88.4785491555 12199 4 12 12
110 69955 88.4785492162 13363 4 12 12
120 76205 88.4785493976 14578 4 12 12
130 82455 88.4785494061 15818 4 12 12
140 88705 88.4785494096 17028 4 12 12
150 94325 88.4785494110 18083 4 7 12
160 99084 88.4785494117 18908 4 4 12
163 100000 88.4785494117 19060 4 4 0
