# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 88.5962115950 638 12 12 12
10 7455 89.9803441899 1283 19 12 12
20 13705 89.9803441899 2017 23 12 12
30 19955 89.9916085238 2777 24 12 12
40 26205 89.9927870506 3576 24 12 12
50 32455 89.9955487850 4335 25 12 12
60 38705 89.9983064915 5124 26 12 12
70 44955 89.9987116373 5867 28 12 12
80 51205 89.9997675405 6582 28 12 12
90 57455 89.9999272737 7309 28 12 12
100 63705 89.9999856121 8051 28 12 12
110 69955 89.9999940258 8787 29 12 12
120 76205 89.9999996852 9526 30 12 12
130 82455 89.9999999787 10259 30 12 12
140 88705 89.9999999911 11021 30 12 12
150 94955 89.9999999984 11751 30 12 12
159 100000 89.9999999999 12323 30 12 0
