# iter best_consensus archive_size party0_clusters party1_clusters
0 25.0968490381 0 12 12
10 71.1013704698 2 12 12
20 84.1604270043 4 12 12
30 88.5512708336 8 12 12
40 88.5512708336 11 12 12
50 88.5512708336 11 11 12
60 89.9068391717 12 11 12
70 89.9068391717 12 11 10
80 89.9245010674 13 11 10
90 89.9779027000 14 11 10
100 89.9794752487 14 11 10
110 89.9911520406 14 11 10
120 89.9928922530 15 11 10
130 89.9939767654 15 11 10
140 89.9986514279 15 11 10
150 89.9986514279 15 11 10
160 89.9997774157 15 11 10
170 89.9997945352 15 11 10
180 89.9998317106 15 11 10
190 89.9999609964 15 11 10
200 89.9999609964 15 11 10
210 89.9999857403 15 11 10
219 89.9999923593 15 11 10
