# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 9.6144628148 661 0 12 12
10 7455 29.9940524918 720 0 12 12
20 13705 74.9628849499 988 3 12 12
30 19955 82.3439910026 1556 8 12 12
40 26205 88.2878022900 2912 11 12 12
50 32455 89.3822063668 4603 13 12 12
60 38705 89.7003261089 5862 13 12 12
70 44955 89.7288554741 6886 15 12 12
80 51205 89.7790908483 7876 17 12 12
90 57455 89.8935475028 8839 18 12 12
100 63558 89.9370767302 9785 18 12 12
110 69073 89.9678257959 10602 19 12 8
120 74651 89.9935682881 11417 19 12 9
130 80544 89.9957424873 12272 19 12 12
140 85975 89.9979741157 13062 20 12 7
150 91112 89.9982318226 13777 22 12 6
160 95808 89.9986822356 14473 22 8 6
170 100000 89.9988317698 15064 25 9 8
