# iter best_consensus archive_size party0_clusters party1_clusters
0 11.4009190190 0 12 12
10 19.5105941999 0 12 12
20 31.4020540160 0 12 12
30 71.3924155462 1 12 12
40 82.8192564127 3 12 12
50 88.2038846332 5 12 12
60 88.2038846332 5 12 12
70 89.3597162105 6 12 12
80 89.3597162105 6 12 12
90 89.6452435859 6 12 12
100 89.7198208268 6 12 12
110 89.9388837562 6 12 12
120 89.9459186875 6 12 12
130 89.9637229927 6 12 12
140 89.9763821778 6 12 12
150 89.9787472925 6 12 12
160 89.9964737096 6 11 12
170 89.9964737096 7 7 12
180 89.9978243437 7 7 12
190 89.9996697326 7 7 12
200 89.9996697326 7 7 12
210 89.9996697326 7 7 12
219 89.9999383552 7 7 12
