# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 6.8637055118 737 0 12 12
10 7455 28.3876075841 1000 0 12 12
20 13705 58.1466734878 1426 0 12 12
30 19955 68.5254178533 1965 2 12 12
40 26205 81.8669898658 2736 7 12 12
50 32455 88.3862723517 3243 8 12 12
60 38705 88.3862723517 4157 8 12 12
70 44955 88.9799214165 5290 9 12 12
80 51205 89.6152836719 6299 9 12 12
90 57455 89.6981269988 7287 10 12 12
100 63705 89.7592906861 8261 10 12 12
110 69955 89.8589459251 9208 10 12 12
120 76205 89.8962191253 10137 10 12 12
130 82455 89.9142979912 11100 10 12 12
140 88705 89.9723044746 12055 10 12 12
150 94535 89.9778049454 12917 10 10 7
160 99567 89.9921053218 13667 10 8 8
161 100000 89.9921053218 13729 10 8 8
