# gen=300 party=0 competing pops
# subpop x0..x(D-1) party_fit
0 0.448395 0.085297 73.441901
1 0.419364 0.090351 72.780526
2 0.234070 0.545152 65.249663
3 0.232898 0.504017 63.040679
4 0.816623 0.841367 40.478490
5 0.763282 0.369864 36.706086
5 0.249612 0.386956 17.084155
6 0.340360 0.213844 28.482727
7 0.492497 0.938953 13.957340
7 0.347814 0.172447 28.227704
