# CEC-2015 metrics  P3  D=2
suite_id       3
problem_name   p3_local_conflict
feature        random shared optima plus party-private local conflicts
dim            2
nopt           1
# strict eps_x=0.01 eps_f=1.0
SR_strict      100.0000
ANOF_strict    1.0000
MPR_strict     1.0000
# loose  eps_x=0.05 eps_f=2.0
SR_loose       100.0000
ANOF_loose     1.0000
MPR_loose      1.0000
ca_size        72
best_consensus 89.9872
