# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 89.0843707385 702 3 12 12
10 7455 89.9821493645 1399 6 12 12
20 13705 89.9821493645 2052 6 12 12
30 19955 89.9821493645 2632 6 12 12
40 26205 89.9821493645 3188 6 12 12
50 32455 89.9821493645 3738 6 12 12
60 38705 89.9821493645 4332 6 12 12
70 44955 89.9821493645 5057 6 12 12
80 51205 89.9821493645 5831 6 12 12
90 57455 89.9821493645 6672 7 12 12
100 63705 89.9914870655 7678 7 12 12
110 69955 89.9927395529 8693 7 12 12
120 76205 89.9928224933 9699 7 12 12
130 82455 89.9928718379 10730 7 12 12
140 88705 89.9928952669 11779 7 12 12
150 94955 89.9928957628 12748 7 12 12
159 100000 89.9928958704 13505 7 12 0
