# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 6.5372684380 657 0 12 12
10 7455 18.0424272123 688 0 12 12
20 13705 69.6333587007 815 1 12 12
30 19955 74.4932183715 1155 2 12 12
40 26205 81.9266473481 1593 4 12 12
50 32455 88.7591556048 2418 5 12 12
60 38705 88.7591556048 3646 5 12 12
70 44955 88.8953449189 5067 5 12 12
80 51205 89.7456018752 6295 5 12 12
90 57455 89.7456018752 7255 7 12 12
100 63705 89.7586784961 8205 8 12 12
110 69955 89.7604876080 9120 9 12 12
120 76205 89.8795789974 10009 9 12 12
130 82455 89.8875952000 10900 12 12 12
140 88705 89.9144214762 11795 12 12 12
150 94955 89.9349039627 12672 13 12 12
159 100000 89.9457932927 13365 13 11 10
