# generation pareto_front_size best_joint_fitness
354 200 90.000000
355 200 90.000000
356 200 90.000000
357 200 90.000000
358 200 90.000000
359 200 90.000000
360 200 90.000000
361 200 90.000000
362 200 90.000000
363 200 90.000000
364 200 90.000000
365 200 90.000000
366 200 90.000000
367 200 90.000000
368 200 90.000000
369 200 90.000000
370 200 90.000000
371 200 90.000000
372 200 90.000000
373 200 90.000000
374 200 90.000000
375 200 90.000000
376 200 90.000000
377 200 90.000000
378 200 90.000000
379 200 90.000000
380 200 90.000000
381 200 90.000000
382 200 90.000000
383 200 90.000000
384 200 90.000000
385 200 90.000000
386 200 90.000000
387 200 90.000000
388 200 90.000000
389 200 90.000000
390 200 90.000000
391 200 90.000000
392 200 90.000000
393 200 90.000000
394 200 90.000000
395 200 90.000000
396 200 90.000000
397 200 90.000000
398 200 90.000000
399 200 90.000000
400 200 90.000000
