# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 11.4009190190 628 0 12 12
10 7455 58.6059172647 691 0 12 12
20 13705 71.8823930298 997 1 12 12
30 19955 81.6560938485 1371 3 12 12
40 26205 85.3954029051 1867 6 12 12
50 32455 87.3035100568 2549 10 12 12
60 38705 87.5439149098 3445 11 12 12
70 44955 89.0154246776 4312 14 12 12
80 51205 89.2346211010 5175 15 12 12
90 57455 89.2884166926 6064 15 12 12
100 63705 89.3303875875 6974 19 12 12
110 69955 89.4783031401 7865 20 12 12
120 76205 89.8770439441 8751 22 12 12
130 82455 89.9451526408 9642 22 12 12
140 88705 89.9747220934 10538 22 12 12
150 94955 89.9836391416 11419 24 12 12
159 100000 89.9905562411 12120 25 12 0
