# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 58.7475805030 655 0 12 12
10 7455 88.2339376330 937 9 12 12
20 13705 89.2467232441 1471 14 12 12
30 19955 89.2467232441 2069 15 12 12
40 26205 89.2467232441 2670 15 12 12
50 32455 89.2467232441 3363 17 12 12
60 38705 89.2467232441 4115 19 12 12
70 44955 89.2467232441 4969 19 12 12
80 51205 89.2467232441 5804 19 12 12
90 57455 89.2467232441 6549 19 12 12
100 63705 89.2467232441 7308 19 12 12
110 69955 89.8133323742 8073 19 12 12
120 76205 89.8133323742 8837 19 12 12
130 82455 89.9954460290 9614 19 12 12
140 88663 89.9955623386 10420 19 12 11
150 94703 89.9969662122 11207 20 12 11
159 100000 89.9974798471 11899 20 12 11
