# iter best_consensus archive_size party0_clusters party1_clusters
0 34.7803786284 0 12 12
10 77.7351130578 4 12 12
20 89.3972523073 12 12 12
30 89.3972523073 16 12 12
40 89.8075721677 16 12 12
50 89.9349346670 16 12 12
60 89.9814367177 16 12 12
70 89.9940700879 16 12 12
80 89.9940700879 17 12 12
90 89.9940700879 17 12 12
100 89.9967854094 17 12 12
110 89.9997717551 17 12 12
120 89.9997717551 17 12 12
130 89.9997717551 18 12 12
140 89.9998485212 18 12 12
150 89.9999815728 19 12 12
160 89.9999941896 19 12 3
170 89.9999941896 19 4 2
180 89.9999941896 19 3 2
190 89.9999970201 19 3 2
200 89.9999992747 19 3 2
210 89.9999998544 20 3 2
219 89.9999999060 20 3 2
