# generation best_consensus ca_size
0 81.998675 94
1 88.625769 94
2 89.500208 94
3 89.500208 94
4 89.500208 94
5 89.500208 94
6 89.500208 94
7 89.500208 94
8 89.955507 94
9 89.955507 94
10 89.955507 94
11 89.955507 94
12 89.955507 94
13 89.955507 94
14 89.955507 94
15 89.955507 94
16 89.955507 94
17 89.955507 94
18 89.955507 94
19 89.955507 94
20 89.955507 94
21 89.955507 94
22 89.955507 94
23 89.955507 94
24 89.955507 94
25 89.955507 94
26 89.955507 94
27 89.955507 94
28 89.955507 94
29 89.955507 94
30 89.955507 94
31 89.955507 94
32 89.955507 94
33 89.955507 94
