# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 0.0367286482 845 0 12 12
10 7455 2.0549491872 1407 0 12 12
20 13705 37.6841814285 1961 0 12 12
30 19955 70.5186357714 2274 1 12 12
40 26205 86.4389179285 2572 6 12 12
50 32455 88.7753136710 3105 6 12 12
60 38705 89.5301196608 3817 6 12 12
70 44955 89.7073088568 4953 7 12 12
80 51205 89.7816667867 6296 7 12 12
90 57455 89.7816667867 7595 7 12 12
100 63705 89.8216200577 8523 7 12 12
110 69955 89.8507069953 9445 9 12 12
120 76205 89.8710394160 10353 12 12 12
130 82455 89.9010015449 11270 12 12 12
140 88705 89.9752128153 12162 12 12 12
150 94955 89.9919078562 13073 12 12 12
159 100000 89.9934509748 13792 12 12 0
