# iter best_consensus archive_size party0_clusters party1_clusters
0 81.8721027180 5 12 12
10 89.8855240563 9 12 12
20 89.8855240563 10 12 12
30 89.8855240563 10 12 12
40 89.9785262760 11 12 11
50 89.9785262760 11 12 11
60 89.9785262760 12 12 11
70 89.9846692901 12 12 11
80 89.9985172175 12 12 11
90 89.9986920883 12 12 11
100 89.9986920883 12 12 11
110 89.9992023872 12 12 11
120 89.9993619297 12 12 11
130 89.9995772277 12 12 11
140 89.9997166203 12 12 11
150 89.9997554928 12 12 11
160 89.9998233650 12 12 11
170 89.9999349069 12 12 11
180 89.9999736697 12 12 11
190 89.9999857902 12 12 11
200 89.9999980188 12 12 11
210 89.9999997872 12 12 11
219 89.9999997872 12 12 11
