# iter best_consensus archive_size party0_clusters party1_clusters
0 0.2934367738 0 12 12
10 4.6177652113 0 12 12
20 25.7158666067 0 11 12
30 38.2495100477 0 11 12
40 57.4109181462 0 11 12
50 84.0612926837 2 11 12
60 87.7353460170 4 12 12
70 88.8233212204 7 12 12
80 88.8914528198 8 12 12
90 88.9175018881 9 12 5
100 89.5266002008 9 12 5
110 89.6720766453 9 12 5
120 89.9379566869 9 12 5
130 89.9379566869 9 12 5
140 89.9379566869 9 12 5
150 89.9710472861 9 12 5
160 89.9896955996 9 12 5
170 89.9916500371 9 12 5
180 89.9936616140 9 12 5
190 89.9957406431 9 12 5
200 89.9972112118 9 12 5
210 89.9990129653 9 12 5
219 89.9990129653 9 12 5
