# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 4.1962020519 758 0 12 12
10 7455 28.1597755603 1608 0 12 12
20 13705 75.0354295158 1973 2 12 12
30 19955 85.0464962440 2252 5 12 12
40 26205 87.5004843435 2732 7 12 12
50 32455 87.5004843435 3453 8 12 12
60 38705 89.7872346488 4280 9 12 12
70 44955 89.8453285583 5125 13 12 12
80 51205 89.9121059736 6011 15 12 12
90 57455 89.9404917164 6892 15 12 12
100 63705 89.9919031640 7757 17 12 12
110 69955 89.9990823697 8638 18 12 12
120 76205 89.9995989683 9546 18 12 12
130 82455 89.9997990827 10419 18 12 12
140 88705 89.9999289101 11287 19 12 12
150 94955 89.9999901265 12159 20 12 12
159 100000 89.9999945997 12879 20 12 0
