# iter best_consensus archive_size party0_clusters party1_clusters
0 74.4346047007 2 12 12
10 89.8885485827 11 12 12
20 89.9729328310 12 11 12
30 89.9783766341 13 10 9
40 89.9961285275 13 10 9
50 89.9961285275 13 10 9
60 89.9997874104 13 10 9
70 89.9997874104 13 10 9
80 89.9997874104 13 10 9
90 89.9999827392 13 10 9
100 89.9999827392 14 10 9
110 89.9999934975 14 10 9
120 89.9999934975 14 10 9
130 89.9999952948 14 10 9
140 89.9999976864 14 10 9
150 89.9999995017 14 10 9
160 89.9999999910 14 10 9
170 89.9999999910 14 10 9
180 89.9999999946 14 10 9
190 89.9999999977 14 10 9
200 90.0000000000 14 10 9
210 90.0000000000 14 10 9
219 90.0000000000 14 10 9
