# iter best_consensus archive_size party0_clusters party1_clusters
0 84.6675669888 1 12 12
10 89.5930948626 3 12 12
20 89.9505168304 3 12 12
30 89.9505168304 3 12 9
40 89.9996470539 3 12 7
50 89.9996560854 3 11 7
60 89.9996560854 3 4 7
70 89.9999922608 3 4 7
80 89.9999975193 3 4 7
90 89.9999998594 3 4 7
100 89.9999998594 3 4 7
110 89.9999999686 3 4 7
120 89.9999999686 3 4 7
130 89.9999999996 3 4 7
140 89.9999999996 3 4 7
150 89.9999999999 3 4 7
160 89.9999999999 3 4 7
170 90.0000000000 3 4 7
180 90.0000000000 3 4 7
190 90.0000000000 3 4 7
200 90.0000000000 3 4 7
210 90.0000000000 3 4 7
219 90.0000000000 3 4 7
