# iter best_consensus archive_size party0_clusters party1_clusters
0 38.5277007776 0 12 12
10 87.2888136336 6 12 12
20 89.4540605355 13 12 12
30 89.7497951726 16 12 12
40 89.7497951726 21 12 12
50 89.7497951726 27 12 12
60 89.9745501937 30 12 12
70 89.9745501937 30 12 12
80 89.9924733531 31 12 12
90 89.9933508383 32 12 12
100 89.9979743975 35 12 12
110 89.9979743975 36 12 12
120 89.9982739364 39 12 12
130 89.9999164848 39 12 12
140 89.9999164848 39 12 12
150 89.9999164848 39 12 12
160 89.9999377655 40 12 12
170 89.9999865866 40 12 12
180 89.9999937448 41 12 12
190 89.9999957658 41 12 12
200 89.9999975302 41 12 12
210 89.9999979871 42 12 12
219 89.9999999309 42 12 12
