# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 73.8596845072 817 1 12 12
10 7455 84.6225241497 1251 3 12 12
20 13705 89.5672457455 2543 4 12 12
30 19955 89.8501388963 4107 4 12 12
40 26205 89.8501388963 5737 4 12 12
50 32455 89.9814227486 7254 5 12 12
60 38705 89.9939747647 8303 5 12 12
70 44955 89.9965759464 9391 5 12 12
80 50533 89.9997381621 10367 5 8 9
90 55061 89.9999458382 11139 5 7 9
100 59463 89.9999458382 11882 5 6 9
110 63718 89.9999899717 12578 5 5 10
120 67889 89.9999990163 13311 5 5 9
130 72102 89.9999996493 14034 5 7 8
140 76378 89.9999999725 14772 5 5 8
150 80591 89.9999999796 15454 5 6 9
160 84993 89.9999999936 16182 5 7 9
170 89164 89.9999999963 16867 5 6 8
180 93314 89.9999999981 17618 5 6 8
190 97548 89.9999999999 18317 5 6 8
196 100000 89.9999999999 18740 5 6 8
