# MPMM-CoEA metrics  P10  D=5  run_seed=1999967
suite_id       10
problem_name   p10_rotated_rugged_deceptive
feature        mixed rotated, ill-conditioned, rugged and deceptive shared optima
dim            5
nopt           6
eval_budget    100000
# strict eps_x=0.01 eps_f=1.0
SR_0.01        0.0000
ANOF_0.01      0.0000
# loose  eps_x=0.05 eps_f=2.0
SR_0.05        0.0000
ANOF_0.05      0.0000
E_WP           86.9813
D_PO           0.2606
ca_size        0
