# MPMM-CoEA metrics  P6  D=5  run_seed=18999678
suite_id       6
problem_name   p6_strong_deception
feature        narrow shared optima (h=90) embedded in very broad high-fitness private basins (h~87)
dim            5
nopt           2
eval_budget    100000
# strict eps_x=0.01 eps_f=1.0
SR_0.01        0.0000
ANOF_0.01      0.0000
# loose  eps_x=0.05 eps_f=2.0
SR_0.05        0.0000
ANOF_0.05      0.0000
E_WP           20.3312
D_PO           0.3522
ca_size        200
